endpoint,treatment,age,deposited_libraries
3 months post-NNK,Control IgG,7 months,4
3 months post-NNK,anti-IL-1β,7 months,3
3 months post-NNK,anti-IL-1β and anti-PD-1,7 months,4
3 months post-NNK,anti-PD-1,7 months,4
7 months post-NNK,Control IgG,11 months,4
7 months post-NNK,anti-IL-1β,11 months,4
7 months post-NNK,anti-IL-1β and anti-PD-1,11 months,4
7 months post-NNK,anti-PD-1,11 months,4
