cluster,n_cells,fraction_Red2Kras,det_Tnc,det_Acta2,det_Pdgfrb,det_Runx1,qualifies
0,1709,0.414,0.108,0.429,0.194,0.508,False
1,2017,0.223,0.237,0.326,0.046,0.073,False
2,1547,0.556,0.01,0.315,0.234,0.187,False
3,733,0.501,0.011,0.327,0.011,0.15,False
4,331,0.988,0.211,0.556,0.148,0.722,False
5,702,0.527,0.365,0.84,0.194,0.422,False
6,1519,0.504,0.232,0.996,0.33,0.176,False
7,201,0.517,0.124,0.473,0.831,0.199,False
8,79,0.747,0.025,0.266,0.0,0.646,False
9,1008,0.192,0.021,0.391,0.182,0.276,False
10,288,0.951,0.003,0.372,0.003,0.823,False
11,184,0.989,0.141,0.473,0.016,0.766,False
12,39,0.436,0.051,0.462,0.103,0.846,False
13,86,0.523,0.081,0.384,0.198,0.116,False
14,937,0.996,0.399,0.574,0.326,0.54,False
15,167,0.874,0.024,0.359,0.066,0.665,False
16,143,0.965,0.308,0.699,0.294,0.49,False
