ligand,receptor,family
IL1B,IL1R2,core
AREG,EGFR,core
HBEGF,EGFR,core
FGF7,FGFR2,exploratory
FGF10,FGFR2,exploratory
HBEGF,ERBB4,core
CXCL12,ACKR3,exploratory
CCL2,CCR2,exploratory
CXCL1,CXCR2,exploratory
CXCL2,CXCR2,exploratory
CXCL12,CXCR4,exploratory
VEGFA,FLT1,exploratory
VEGFA,KDR,exploratory
CCL2,ACKR1,exploratory
CCL2,ACKR2,exploratory
CXCL1,ACKR1,exploratory
CXCL2,ACKR1,exploratory
IL1A,IL1R1_IL1RAP,core
IL1B,IL1R1_IL1RAP,core
TGFB1,TGFBR1_TGFBR2,core
VEGFA,FLT1_KDR,exploratory
IL1A,IL1R2,core
FGF10,FGFR1,exploratory
FGF7,FGFR1,exploratory
CXCL2,CXCR1,exploratory
CXCL1,CXCR1,exploratory
TGFB1,ACVR1B_TGFBR2,core
TGFB1,ACVR1C_TGFBR2,core
TGFB1,ACVR1_TGFBR1_TGFBR2,core
AREG,EGFR_ERBB2,core
HBEGF,EGFR_ERBB2,core
HBEGF,ERBB2_ERBB4,core
