ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
AREG,AREG,0.588,0.15399268131677246,7.4681573,EGFR,EGFR,0.44871794871794873,0.04505842575164287,Macrophage,Myofibroblast,0.013687391075444946,49I,IPF,cellchatdb
CXCL12,CXCL12,0.44871794871794873,0.0397345844520558,7.4681573,CXCR4,CXCR4,0.652,0.1331392674921439,Myofibroblast,Macrophage,0.010469692698673405,49I,IPF,cellchatdb
CXCL12,CXCL12,0.44871794871794873,0.0397345844520558,7.4681573,CXCR4,CXCR4,0.504,0.06110288458649471,Myofibroblast,Macrophage_Alveolar,0.004832330646538525,49I,IPF,cellchatdb
HBEGF,HBEGF,0.428,0.0406741428997659,7.4681573,EGFR,EGFR,0.44871794871794873,0.04505842575164287,Macrophage,Myofibroblast,0.0036520394166022255,49I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.03306517853118862,7.4681573,EGFR,EGFR,0.44871794871794873,0.04505842575164287,Macrophage_Alveolar,Myofibroblast,0.002970877371836399,49I,IPF,cellchatdb
AREG,AREG,0.328,0.02337378590766548,7.4681573,EGFR,EGFR,0.44871794871794873,0.04505842575164287,Macrophage_Alveolar,Myofibroblast,0.0021019445166484806,49I,IPF,cellchatdb
CXCL12,CXCL12,0.44871794871794873,0.0397345844520558,7.4681573,ACKR3,ACKR3,0.336,0.02281858819819238,Myofibroblast,Macrophage_Alveolar,0.0018100918657147844,49I,IPF,cellchatdb
CXCL12,CXCL12,0.44871794871794873,0.0397345844520558,7.4681573,ACKR3,ACKR3,0.116,0.0,Myofibroblast,Macrophage,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.24358974358974358,0.0,7.4681573,TGFBR1,TGFBR1_TGFBR2,0.218,0.0,Myofibroblast,Macrophage,0.0,49I,IPF,cellchatdb
VEGFA,VEGFA,0.10256410256410256,0.0,7.4681573,FLT1,FLT1,0.126,0.0,Myofibroblast,Macrophage_Alveolar,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.24358974358974358,0.0,7.4681573,ACVR1,ACVR1_TGFBR1_TGFBR2,0.142,0.0,Myofibroblast,Macrophage,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.24358974358974358,0.0,7.4681573,ACVR1B,ACVR1B_TGFBR2,0.166,0.0,Myofibroblast,Macrophage_Alveolar,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.24358974358974358,0.0,7.4681573,TGFBR1,TGFBR1_TGFBR2,0.24,0.0,Myofibroblast,Macrophage_Alveolar,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.24358974358974358,0.0,7.4681573,ACVR1,ACVR1_TGFBR1_TGFBR2,0.186,0.0,Myofibroblast,Macrophage_Alveolar,0.0,49I,IPF,cellchatdb
HBEGF,HBEGF,0.428,0.0406741428997659,7.4681573,ERBB4,ERBB4,0.1794871794871795,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.24358974358974358,0.0,7.4681573,ACVR1B,ACVR1B_TGFBR2,0.16,0.0,Myofibroblast,Macrophage,0.0,49I,IPF,cellchatdb
VEGFA,VEGFA,0.10256410256410256,0.0,7.4681573,FLT1,FLT1,0.192,0.0,Myofibroblast,Macrophage,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.506,0.07727644984090176,7.4681573,TGFBR1,TGFBR1_TGFBR2,0.14102564102564102,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
IL1B,IL1B,0.102,0.0,7.4681573,IL1RAP,IL1R1_IL1RAP,0.11538461538461539,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.506,0.07727644984090176,7.4681573,ACVR1B,ACVR1B_TGFBR2,0.11538461538461539,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.506,0.07727644984090176,7.4681573,ACVR1,ACVR1_TGFBR1_TGFBR2,0.23076923076923078,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
HBEGF,HBEGF,0.428,0.0406741428997659,7.4681573,ERBB2,EGFR_ERBB2,0.1282051282051282,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
AREG,AREG,0.588,0.15399268131677246,7.4681573,ERBB2,EGFR_ERBB2,0.1282051282051282,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
HBEGF,HBEGF,0.428,0.0406741428997659,7.4681573,ERBB2,ERBB2_ERBB4,0.1282051282051282,0.0,Macrophage,Myofibroblast,0.0,49I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.03306517853118862,7.4681573,ERBB4,ERBB4,0.1794871794871795,0.0,Macrophage_Alveolar,Myofibroblast,0.0,49I,IPF,cellchatdb
IL1A,IL1A,0.122,0.0,7.4681573,IL1RAP,IL1R1_IL1RAP,0.11538461538461539,0.0,Macrophage_Alveolar,Myofibroblast,0.0,49I,IPF,cellchatdb
IL1B,IL1B,0.268,0.01472640007332826,7.4681573,IL1RAP,IL1R1_IL1RAP,0.11538461538461539,0.0,Macrophage_Alveolar,Myofibroblast,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.622,0.08291379055069825,7.4681573,TGFBR1,TGFBR1_TGFBR2,0.14102564102564102,0.0,Macrophage_Alveolar,Myofibroblast,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.622,0.08291379055069825,7.4681573,ACVR1B,ACVR1B_TGFBR2,0.11538461538461539,0.0,Macrophage_Alveolar,Myofibroblast,0.0,49I,IPF,cellchatdb
TGFB1,TGFB1,0.622,0.08291379055069825,7.4681573,ACVR1,ACVR1_TGFBR1_TGFBR2,0.23076923076923078,0.0,Macrophage_Alveolar,Myofibroblast,0.0,49I,IPF,cellchatdb
