ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
IL1A,IL1A,0.176,0.0,7.9036536,IL1RAP,IL1R1_IL1RAP,0.18796992481203006,0.0,Macrophage,ATII,0.0,226C,control,consensus
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,ACVR1B,ACVR1B_TGFBR2,0.12030075187969924,0.0,Macrophage_Alveolar,ATII,0.0,226C,control,consensus
HBEGF,HBEGF,0.332,0.03734092887300888,7.9036536,CD82,CD82,0.11278195488721804,0.0,Macrophage,ATII,0.0,226C,control,consensus
TGFB1,TGFB1,0.442,0.04183570177758544,7.9036536,ENG,ENG,0.12781954887218044,0.0,Macrophage,ATII,0.0,226C,control,consensus
VEGFA,VEGFA,0.494,0.050850047493614214,7.9036536,GPC1,GPC1,0.11278195488721804,0.0,Macrophage,ATII,0.0,226C,control,consensus
IL1B,IL1B,0.774,0.29475476078676577,7.9036536,IL1R2,IL1R2_IL1RAP,0.12030075187969924,0.0,Macrophage,ATII,0.0,226C,control,consensus
IL1B,IL1B,0.774,0.29475476078676577,7.9036536,IL1RAP,IL1R1_IL1RAP,0.18796992481203006,0.0,Macrophage,ATII,0.0,226C,control,consensus
TGFB1,TGFB1,0.442,0.04183570177758544,7.9036536,CXCR4,CXCR4,0.14285714285714285,0.0,Macrophage,ATII,0.0,226C,control,consensus
TGFB1,TGFB1,0.442,0.04183570177758544,7.9036536,ACVR1,ACVR1_TGFBR2,0.18045112781954886,0.0,Macrophage,ATII,0.0,226C,control,consensus
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,TGFBR3,TGFBR3,0.15037593984962405,0.0,Macrophage_Alveolar,ATII,0.0,226C,control,consensus
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,CXCR4,CXCR4,0.14285714285714285,0.0,Macrophage_Alveolar,ATII,0.0,226C,control,consensus
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,VASN,VASN,0.12030075187969924,0.0,Macrophage_Alveolar,ATII,0.0,226C,control,consensus
IL1A,IL1A,0.3377777777777778,0.02951629147657675,7.9036536,IL1RAP,IL1R1_IL1RAP,0.18796992481203006,0.0,Macrophage_Alveolar,ATII,0.0,226C,control,consensus
IL1B,IL1B,0.64,0.13594115144986674,7.9036536,IL1RAP,IL1R1_IL1RAP,0.18796992481203006,0.0,Macrophage_Alveolar,ATII,0.0,226C,control,consensus
