ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
HBEGF,HBEGF,0.642,0.07880782520437846,8.053527,ERBB4,ERBB4,0.952,0.21799105338887337,Macrophage_Alveolar,ATII,0.033217488561929145,133C,control,cellchatdb
HBEGF,HBEGF,0.46,0.03704941766096459,8.053527,ERBB4,ERBB4,0.952,0.21799105338887337,Macrophage,ATII,0.015896115077071393,133C,control,cellchatdb
HBEGF,HBEGF,0.642,0.07880782520437846,8.053527,EGFR,EGFR,0.604,0.0730904250201656,Macrophage_Alveolar,ATII,0.011388991476925474,133C,control,cellchatdb
AREG,AREG,0.43,0.045437171571382606,8.053527,EGFR,EGFR,0.604,0.0730904250201656,Macrophage,ATII,0.006598218702390192,133C,control,cellchatdb
HBEGF,HBEGF,0.46,0.03704941766096459,8.053527,EGFR,EGFR,0.604,0.0730904250201656,Macrophage,ATII,0.005386741232558632,133C,control,cellchatdb
AREG,AREG,0.43,0.045437171571382606,8.053527,ERBB2,EGFR_ERBB2,0.126,0.0,Macrophage,ATII,0.0,133C,control,cellchatdb
HBEGF,HBEGF,0.46,0.03704941766096459,8.053527,ERBB2,EGFR_ERBB2,0.126,0.0,Macrophage,ATII,0.0,133C,control,cellchatdb
IL1B,IL1B,0.378,0.03533757350720701,8.053527,IL1RAP,IL1R1_IL1RAP,0.204,0.0,Macrophage,ATII,0.0,133C,control,cellchatdb
TGFB1,TGFB1,0.498,0.037372656228991774,8.053527,ACVR1B,ACVR1B_TGFBR2,0.21,0.0,Macrophage,ATII,0.0,133C,control,cellchatdb
AREG,AREG,0.232,0.0,8.053527,EGFR,EGFR,0.604,0.0730904250201656,Macrophage_Alveolar,ATII,0.0,133C,control,cellchatdb
HBEGF,HBEGF,0.46,0.03704941766096459,8.053527,ERBB2,ERBB2_ERBB4,0.126,0.0,Macrophage,ATII,0.0,133C,control,cellchatdb
IL1A,IL1A,0.208,0.0,8.053527,IL1RAP,IL1R1_IL1RAP,0.204,0.0,Macrophage_Alveolar,ATII,0.0,133C,control,cellchatdb
IL1B,IL1B,0.684,0.11740181471210764,8.053527,IL1RAP,IL1R1_IL1RAP,0.204,0.0,Macrophage_Alveolar,ATII,0.0,133C,control,cellchatdb
TGFB1,TGFB1,0.562,0.0580019664107122,8.053527,ACVR1B,ACVR1B_TGFBR2,0.21,0.0,Macrophage_Alveolar,ATII,0.0,133C,control,cellchatdb
AREG,AREG,0.232,0.0,8.053527,ERBB2,EGFR_ERBB2,0.126,0.0,Macrophage_Alveolar,ATII,0.0,133C,control,cellchatdb
HBEGF,HBEGF,0.642,0.07880782520437846,8.053527,ERBB2,EGFR_ERBB2,0.126,0.0,Macrophage_Alveolar,ATII,0.0,133C,control,cellchatdb
HBEGF,HBEGF,0.642,0.07880782520437846,8.053527,ERBB2,ERBB2_ERBB4,0.126,0.0,Macrophage_Alveolar,ATII,0.0,133C,control,cellchatdb
