,cellchatdb,cellphonedb,connectomedb2020,consensus,italk
cellchatdb,1.0,0.111,0.034,0.034,0.0
cellphonedb,0.111,1.0,0.0,0.0,0.0
connectomedb2020,0.034,0.0,1.0,0.429,0.429
consensus,0.034,0.0,0.429,1.0,0.579
italk,0.0,0.0,0.429,0.579,1.0
