group,gene,rna_detection_pct,rna_nuclei,atac_detection_pct,atac_nuclei
PBS reference,Etv5,71.65409592139015,1636,21.90753705671859,4398
PBS reference,Abca3,84.4551332923303,1636,10.757794750717895,4398
PBS reference,Cebpa,41.009375937521995,1636,12.1053773891757,4398
PBS reference,Lamp3,83.80246011304115,1636,1.2788818205522976,4398
PBS reference,Sftpb,99.32624080796793,1636,7.127282018570915,4398
PBS reference,Slc34a2,96.72745897699191,1636,2.6680846001612255,4398
PBS reference,Lyz2,99.61447747747818,1636,1.0722145617134604,4398
PBS reference,Napsa,76.28240284829111,1636,4.167010636873777,4398
PBS reference,Pon1,8.367096461945813,1636,0.9540820420232566,4398
SeV reference,Etv5,58.93343496666623,2926,19.64235893532883,4606
SeV reference,Abca3,77.5181035402173,2926,10.013299486308386,4606
SeV reference,Cebpa,38.11867805106029,2926,15.696654766538066,4606
SeV reference,Lamp3,75.98052312812636,2926,1.449257476783953,4606
SeV reference,Sftpb,98.54985576396068,2926,8.765640432571503,4606
SeV reference,Slc34a2,91.20279651296963,2926,3.893666290069222,4606
SeV reference,Lyz2,99.75518555300161,2926,1.368551613267004,4606
SeV reference,Napsa,71.67427033134035,2926,4.50422182037283,4606
SeV reference,Pon1,8.38004537889749,2926,1.6489044898134328,4606
SeV transitional,Etv5,31.404477509167855,469,17.174016451543817,469
SeV transitional,Abca3,59.03580877173857,469,8.956319521977704,469
SeV transitional,Cebpa,26.096900156083176,469,14.597899178623072,469
SeV transitional,Lamp3,57.822087411659716,469,1.1792387857820819,469
SeV transitional,Sftpb,96.29061508102923,469,5.914475964487321,469
SeV transitional,Slc34a2,82.08150323181505,469,3.384797199363226,469
SeV transitional,Lyz2,99.1604552973657,469,0.7888529626141361,469
SeV transitional,Napsa,48.1210537701359,469,2.206384430664547,469
SeV transitional,Pon1,9.915221876285175,469,1.8630708020016113,469
