tissue,celltype,gene,fraction_expressing_donor_median,mean_log2tpm_donor_median,donors
nLung,B lymphocytes,AREG,0.2808988764044944,0.7306999,11
nLung,Endothelial cells,AREG,0.04519774011299435,0.111527815,9
nLung,Epithelial cells,AREG,0.39080459770114945,0.90662754,11
nLung,Fibroblasts,AREG,0.047058823529411764,0.06304503,7
nLung,MAST cells,AREG,0.23333333333333334,0.6901403,11
nLung,Myeloid cells,AREG,0.20239111870196413,0.41512093,11
nLung,NK cells,AREG,0.19879518072289157,0.6050613,11
nLung,T lymphocytes,AREG,0.12406015037593984,0.33106008,11
tLung,B lymphocytes,AREG,0.2,0.38067567,11
tLung,Endothelial cells,AREG,0.03571428571428571,0.05603295,7
tLung,Epithelial cells,AREG,0.43037974683544306,0.7697803,11
tLung,Fibroblasts,AREG,0.05399300495482366,0.12517035,10
tLung,MAST cells,AREG,0.38461538461538464,1.0919737,11
tLung,Myeloid cells,AREG,0.2396351575456053,0.57048047,11
tLung,NK cells,AREG,0.30357142857142855,0.9586965,11
tLung,T lymphocytes,AREG,0.13695955369595536,0.34780547,11
nLung,B lymphocytes,HBEGF,0.036585365853658534,0.058107145,11
nLung,Endothelial cells,HBEGF,0.1443850267379679,0.3161077,9
nLung,Epithelial cells,HBEGF,0.21888412017167383,0.36086258,11
nLung,Fibroblasts,HBEGF,0.10215053763440861,0.15066119,7
nLung,MAST cells,HBEGF,0.021739130434782608,0.04381394,11
nLung,Myeloid cells,HBEGF,0.6127388535031847,1.1064563,11
nLung,NK cells,HBEGF,0.01282051282051282,0.026326353,11
nLung,T lymphocytes,HBEGF,0.01620745542949757,0.037442602,11
tLung,B lymphocytes,HBEGF,0.010848126232741617,0.011753642,11
tLung,Endothelial cells,HBEGF,0.27672955974842767,0.5263271,7
tLung,Epithelial cells,HBEGF,0.2689655172413793,0.34134772,11
tLung,Fibroblasts,HBEGF,0.0547373588610702,0.061293162,10
tLung,MAST cells,HBEGF,0.007075471698113208,0.01526773,11
tLung,Myeloid cells,HBEGF,0.4601990049751244,0.84551764,11
tLung,NK cells,HBEGF,0.0,0.0,11
tLung,T lymphocytes,HBEGF,0.011976047904191617,0.023769941,11
nLung,B lymphocytes,EREG,0.011235955056179775,0.009668496,11
nLung,Endothelial cells,EREG,0.011111111111111112,0.016567111,9
nLung,Epithelial cells,EREG,0.02247191011235955,0.03332115,11
nLung,Fibroblasts,EREG,0.013986013986013986,0.02246872,7
nLung,MAST cells,EREG,0.006369426751592357,0.015140308,11
nLung,Myeloid cells,EREG,0.28317272053372866,0.6171713,11
nLung,NK cells,EREG,0.0039164490861618795,0.009169711,11
nLung,T lymphocytes,EREG,0.006482982171799027,0.01624185,11
tLung,B lymphocytes,EREG,0.006535947712418301,0.008486234,11
tLung,Endothelial cells,EREG,0.0,0.0,7
tLung,Epithelial cells,EREG,0.04201680672268908,0.051572636,11
tLung,Fibroblasts,EREG,0.006813149378300119,0.007051048,10
tLung,MAST cells,EREG,0.010810810810810811,0.018709205,11
tLung,Myeloid cells,EREG,0.24915597569209993,0.5727306,11
tLung,NK cells,EREG,0.012658227848101266,0.029892508,11
tLung,T lymphocytes,EREG,0.003934426229508197,0.0075832778,11
nLung,B lymphocytes,TGFA,0.0,0.0,11
nLung,Endothelial cells,TGFA,0.0,0.0,9
nLung,Epithelial cells,TGFA,0.035175879396984924,0.038290672,11
nLung,Fibroblasts,TGFA,0.0,0.0,7
nLung,MAST cells,TGFA,0.011904761904761904,0.022166353,11
nLung,Myeloid cells,TGFA,0.010471204188481676,0.010807453,11
nLung,NK cells,TGFA,0.0013568521031207597,0.0031405287,11
nLung,T lymphocytes,TGFA,0.0022304832713754648,0.0048945197,11
tLung,B lymphocytes,TGFA,0.0009861932938856016,0.0014695456,11
tLung,Endothelial cells,TGFA,0.0,0.0,7
tLung,Epithelial cells,TGFA,0.11575875486381323,0.08764914,11
tLung,Fibroblasts,TGFA,0.0,0.0,10
tLung,MAST cells,TGFA,0.02197802197802198,0.040223654,11
tLung,Myeloid cells,TGFA,0.034013605442176874,0.038301352,11
tLung,NK cells,TGFA,0.0,0.0,11
tLung,T lymphocytes,TGFA,0.001899335232668566,0.0031408477,11
nLung,B lymphocytes,EGF,0.0,0.0,11
nLung,Endothelial cells,EGF,0.0,0.0,9
nLung,Epithelial cells,EGF,0.008583690987124463,0.0077399416,11
nLung,Fibroblasts,EGF,0.0,0.0,7
nLung,MAST cells,EGF,0.0,0.0,11
nLung,Myeloid cells,EGF,0.0,0.0,11
nLung,NK cells,EGF,0.0,0.0,11
nLung,T lymphocytes,EGF,0.0,0.0,11
tLung,B lymphocytes,EGF,0.0,0.0,11
tLung,Endothelial cells,EGF,0.0,0.0,7
tLung,Epithelial cells,EGF,0.017699115044247787,0.01831368,11
tLung,Fibroblasts,EGF,0.0,0.0,10
tLung,MAST cells,EGF,0.0,0.0,11
tLung,Myeloid cells,EGF,0.0,0.0,11
tLung,NK cells,EGF,0.0,0.0,11
tLung,T lymphocytes,EGF,0.0,0.0,11
nLung,B lymphocytes,BTC,0.0,0.0,11
nLung,Endothelial cells,BTC,0.008620689655172414,0.014661762,9
nLung,Epithelial cells,BTC,0.09375,0.108018994,11
nLung,Fibroblasts,BTC,0.018867924528301886,0.02962633,7
nLung,MAST cells,BTC,0.0,0.0,11
nLung,Myeloid cells,BTC,0.0,0.0,11
nLung,NK cells,BTC,0.0,0.0,11
nLung,T lymphocytes,BTC,0.0,0.0,11
tLung,B lymphocytes,BTC,0.0,0.0,11
tLung,Endothelial cells,BTC,0.0,0.0,7
tLung,Epithelial cells,BTC,0.1005631536604988,0.07646035,11
tLung,Fibroblasts,BTC,0.012168464004663364,0.011133774,10
tLung,MAST cells,BTC,0.0,0.0,11
tLung,Myeloid cells,BTC,0.0,0.0,11
tLung,NK cells,BTC,0.0,0.0,11
tLung,T lymphocytes,BTC,0.0,0.0,11
nLung,B lymphocytes,EPGN,0.0,0.0,11
nLung,Endothelial cells,EPGN,0.0,0.0,9
nLung,Epithelial cells,EPGN,0.0,0.0,11
nLung,Fibroblasts,EPGN,0.0,0.0,7
nLung,MAST cells,EPGN,0.0,0.0,11
nLung,Myeloid cells,EPGN,0.0,0.0,11
nLung,NK cells,EPGN,0.0,0.0,11
nLung,T lymphocytes,EPGN,0.0,0.0,11
tLung,B lymphocytes,EPGN,0.0,0.0,11
tLung,Endothelial cells,EPGN,0.0,0.0,7
tLung,Epithelial cells,EPGN,0.0,0.0,11
tLung,Fibroblasts,EPGN,0.0,0.0,10
tLung,MAST cells,EPGN,0.0,0.0,11
tLung,Myeloid cells,EPGN,0.0,0.0,11
tLung,NK cells,EPGN,0.0,0.0,11
tLung,T lymphocytes,EPGN,0.0,0.0,11
nLung,B lymphocytes,EGFR,0.0,0.0,11
nLung,Endothelial cells,EGFR,0.03333333333333333,0.076225586,9
nLung,Epithelial cells,EGFR,0.22746781115879827,0.330265,11
nLung,Fibroblasts,EGFR,0.19672131147540983,0.24361812,7
nLung,MAST cells,EGFR,0.0,0.0,11
nLung,Myeloid cells,EGFR,0.001763668430335097,0.0015914718,11
nLung,NK cells,EGFR,0.0,0.0,11
nLung,T lymphocytes,EGFR,0.0,0.0,11
tLung,B lymphocytes,EGFR,0.0,0.0,11
tLung,Endothelial cells,EGFR,0.037037037037037035,0.07195534,7
tLung,Epithelial cells,EGFR,0.3897058823529412,0.45294926,11
tLung,Fibroblasts,EGFR,0.18080582524271843,0.20323052,10
tLung,MAST cells,EGFR,0.0,0.0,11
tLung,Myeloid cells,EGFR,0.004343105320304018,0.003974242,11
tLung,NK cells,EGFR,0.0,0.0,11
tLung,T lymphocytes,EGFR,0.002789400278940028,0.007064992,11
