group,n_nuclei,median_rna_score,median_atac_promoter,median_atac_counts,pct_no_promoter_fragment,median_atac_promoter_nonzero
PBS reference,7284,1.1183721947669985,0.0,4799.0,51.11202635914333,1.5385098432930757
SeV reference,7507,1.093881918059455,0.3825409729351544,4842.0,49.95337684827494,1.6018651317611055
SeV transitional,586,0.31197950038645,0.9051508297356736,9435.0,39.07849829351536,1.3090136959076046
