subcluster,AT1,AT1_AT2,AT2,Alveolar_transitional
0,0,11,232,14
1,31,4,19,168
10,0,0,1,18
11,6,195,11,2
2,7,0,36,0
3,98,192,199,2
4,16,11,47,0
5,768,4,0,9
6,0,2,1527,0
7,833,1,0,0
8,0,0,69,0
9,0,9,1136,16
