celltype,cohort,det_HBEGF,det_AREG,det_EREG,det_EGFR,n_donors
cDC2,E2_GSE136831,0.4438,0.8738,0.3338,0.0042,28
Macrophage_Alveolar,E2_GSE136831,0.4372,0.3012,0.2187,0.0069,31
cMonocyte,E2_GSE136831,0.4038,0.7819,0.5604,0.0,30
Aberrant_Basaloid,E2_GSE136831,0.3902,0.6154,0.2,0.5152,7
Macrophage,E2_GSE136831,0.368,0.5023,0.4007,0.006,32
Basal,E2_GSE136831,0.2917,0.3385,0.1481,0.7742,19
Multiplet,E2_GSE136831,0.2861,0.5068,0.236,0.2242,26
VE_Peribronchial,E2_GSE136831,0.2381,0.0779,0.013,0.1538,19
VE_Arterial,E2_GSE136831,0.2333,0.1667,0.0263,0.3333,5
ncMonocyte,E2_GSE136831,0.2286,0.4762,0.2031,0.0,23
Goblet,E2_GSE136831,0.2024,0.2831,0.1385,0.4762,18
ATII,E2_GSE136831,0.186,0.7547,0.093,0.434,7
VE_Venous,E2_GSE136831,0.1657,0.0905,0.0412,0.2377,4
Club,E2_GSE136831,0.125,0.3902,0.1724,0.4167,21
Mesothelial,E2_GSE136831,0.1111,0.3519,0.037,0.6111,3
VE_Capillary_B,E2_GSE136831,0.1094,0.1582,0.0,0.3472,6
cDC1,E2_GSE136831,0.1053,0.7179,0.05,0.0,7
DC_Mature,E2_GSE136831,0.0693,0.6136,0.1432,0.0,8
Myofibroblast,E2_GSE136831,0.069,0.0883,0.0172,0.4487,17
VE_Capillary_A,E2_GSE136831,0.0667,0.1,0.0,0.3,3
Fibroblast,E2_GSE136831,0.0522,0.0746,0.0167,0.65,21
B_Plasma,E2_GSE136831,0.05,0.2593,0.05,0.0,3
Ciliated,E2_GSE136831,0.0388,0.1758,0.0318,0.3226,32
pDC,E2_GSE136831,0.0339,0.9248,0.0293,0.0,8
SMC,E2_GSE136831,0.0314,0.0583,0.0134,0.3123,8
Lymphatic,E2_GSE136831,0.0303,0.0465,0.0233,0.0,15
Pericyte,E2_GSE136831,0.0285,0.109,0.0127,0.3824,6
T,E2_GSE136831,0.0244,0.2225,0.01,0.0,30
T_Regulatory,E2_GSE136831,0.0213,0.08,0.0263,0.0,17
NK,E2_GSE136831,0.0112,0.6223,0.0102,0.0,29
T_Cytotoxic,E2_GSE136831,0.0101,0.1906,0.0102,0.0,29
B,E2_GSE136831,0.0091,0.186,0.0155,0.0,25
Mast,E2_GSE136831,0.0,0.8775,0.042,0.0,12
DC_Langerhans,E2_GSE136831,0.0,0.3451,0.0,0.0192,4
Macrophages,E3_GSE135893,0.5082,0.4912,0.2359,0.001,12
Monocytes,E3_GSE135893,0.4966,0.5278,0.375,0.0,8
KRT5-/KRT17+,E3_GSE135893,0.4182,0.7,0.0649,0.2987,3
Proliferating Macrophages,E3_GSE135893,0.3591,0.4446,0.1712,0.0,8
cDCs,E3_GSE135893,0.323,0.65,0.0786,0.0,11
AT1,E3_GSE135893,0.3,0.25,0.0,0.4,3
AT2,E3_GSE135893,0.1969,0.7108,0.0355,0.2314,10
Endothelial Cells,E3_GSE135893,0.1921,0.1083,0.0035,0.0532,11
Proliferating Epithelial Cells,E3_GSE135893,0.1714,0.549,0.0769,0.3529,3
Basal,E3_GSE135893,0.168,0.3876,0.0878,0.655,10
PLIN2+ Fibroblasts,E3_GSE135893,0.1622,0.0854,0.0218,0.5115,4
Plasma Cells,E3_GSE135893,0.1053,0.4436,0.0,0.0,3
SCGB3A2+,E3_GSE135893,0.0962,0.4294,0.1393,0.2682,10
Mesothelial Cells,E3_GSE135893,0.0938,0.3438,0.0312,0.5938,3
MUC5B+,E3_GSE135893,0.0894,0.1939,0.0422,0.249,10
Smooth Muscle Cells,E3_GSE135893,0.0714,0.0588,0.0,0.069,7
B Cells,E3_GSE135893,0.0666,0.2835,0.0647,0.0,6
Myofibroblasts,E3_GSE135893,0.0656,0.0922,0.0142,0.1601,8
Differentiating Ciliated,E3_GSE135893,0.0651,0.3286,0.02,0.3657,5
SCGB3A2+ SCGB1A1+,E3_GSE135893,0.0588,0.3235,0.0203,0.1724,11
Mast Cells,E3_GSE135893,0.04,0.9077,0.08,0.0,3
T Cells,E3_GSE135893,0.037,0.267,0.0041,0.0,7
Lymphatic Endothelial Cells,E3_GSE135893,0.0209,0.0,0.0,0.0,3
Ciliated,E3_GSE135893,0.0121,0.2552,0.011,0.1433,12
NK Cells,E3_GSE135893,0.0082,0.63,0.0,0.0,6
Fibroblasts,E3_GSE135893,0.0,0.1034,0.0,0.2,3
