cohort,donor,disease,celltype,n_cells,det_AREG,det_HBEGF,det_EREG,det_EGF,det_EGFR,det_TGFA,det_BTC,det_EPGN,evaluable
E2_GSE136831,001C,Control,ATI,40,0.0,0.175,0.0,0.0,0.5,0.0,0.1,0.0,True
E2_GSE136831,001C,Control,ATII,10,0.1,0.0,0.0,0.0,0.3,0.2,0.0,0.0,False
E2_GSE136831,001C,Control,B,32,0.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,001C,Control,B_Plasma,8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,Basal,19,0.0526,0.0,0.0526,0.0526,0.7895,0.0526,0.0526,0.0,False
E2_GSE136831,001C,Control,Ciliated,14,0.0,0.0,0.0,0.0,0.1429,0.2857,0.1429,0.0,False
E2_GSE136831,001C,Control,Club,14,0.0,0.0714,0.0,0.0,0.6429,0.0714,0.0,0.0,False
E2_GSE136831,001C,Control,Fibroblast,9,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,Goblet,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
E2_GSE136831,001C,Control,ILC_A,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,ILC_B,3,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,False
E2_GSE136831,001C,Control,Lymphatic,50,0.08,0.0,0.02,0.0,0.02,0.02,0.02,0.0,True
E2_GSE136831,001C,Control,Macrophage,390,0.3846,0.2436,0.1051,0.0051,0.0051,0.0359,0.0,0.0103,True
E2_GSE136831,001C,Control,Macrophage_Alveolar,480,0.1229,0.3104,0.0333,0.0104,0.0042,0.075,0.0,0.0,True
E2_GSE136831,001C,Control,Mesothelial,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,Multiplet,13,0.2308,0.0,0.1538,0.0,0.1538,0.0,0.0769,0.0769,False
E2_GSE136831,001C,Control,Myofibroblast,7,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,NK,61,0.4918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,001C,Control,SMC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,T,14,0.2857,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,T_Cytotoxic,25,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.0,True
