library,gene,set,det_double_positive,det_double_negative,difference,unrankable
Bleo1_GFPp,Npnt,alveolar,0.5,0.5999,-0.0999,False
Bleo1_GFPp,P4ha3,C9 top 30,0.6562,0.1293,0.5269,False
Bleo1_GFPp,Pdgfra,alveolar,0.5938,0.4895,0.1042,False
Bleo1_GFPp,Pi16,adventitial,0.0938,0.1347,-0.0409,False
Bleo1_GFPp,Piezo2,C9 top 30,0.5312,0.0812,0.4501,False
Bleo1_GFPp,Postn,pathological,0.6562,0.1721,0.4842,False
Bleo1_GFPp,Prrx2,C9 top 30,0.5312,0.1672,0.364,False
Bleo1_GFPp,Rab31,C9 top 30,0.4062,0.1084,0.2978,False
Bleo1_GFPp,Rai14,C9 top 30,0.125,0.0267,0.0983,False
Bleo1_GFPp,Rftn1,C9 top 30,0.2812,0.123,0.1583,False
Bleo1_GFPp,Rnf149,C9 top 30,0.5938,0.1512,0.4426,False
Bleo1_GFPp,Ror2,C9 top 30,0.25,0.0423,0.2077,False
Bleo1_GFPp,Runx2,group definition,1.0,0.0,1.0,False
Bleo1_GFPp,Scube2,alveolar,0.0312,0.2509,-0.2196,False
Bleo1_GFPp,Sdc1,C9 top 30,0.625,0.087,0.538,False
Bleo1_GFPp,Sept9,C9 top 30,0.4688,0.0895,0.3793,False
Bleo1_GFPp,Spp1,pathological,0.4688,0.1736,0.2952,False
Bleo1_GFPp,Tcf21,alveolar,0.4062,0.5134,-0.1071,False
Bleo1_GFPp,Thsd4,smooth_muscle,0.125,0.0219,0.1031,False
Bleo1_GFPp,Tnc,pathological,0.75,0.227,0.523,False
Bleo2_GFPp,1110038B12Rik,C9 top 30,,,,False
Bleo2_GFPp,AI506816,C9 top 30,,,,False
Bleo2_GFPp,Acta2,smooth_muscle,0.5946,0.3989,0.1957,False
Bleo2_GFPp,Basp1,C9 top 30,0.5135,0.0984,0.4152,False
Bleo2_GFPp,Bmp1,C9 top 30,0.4054,0.1627,0.2427,False
Bleo2_GFPp,Bmper,C9 top 30,0.5405,0.1324,0.4082,False
Bleo2_GFPp,Cemip2,C9 top 30,,,,False
Bleo2_GFPp,Chst11,C9 top 30,0.0541,0.0291,0.0249,False
Bleo2_GFPp,Col13a1,alveolar,0.1892,0.4396,-0.2504,False
Bleo2_GFPp,Col14a1,adventitial,0.1081,0.2957,-0.1876,False
Bleo2_GFPp,Col1a1,group definition,1.0,1.0,0.0,True
Bleo2_GFPp,Col3a1,pathological,0.973,0.9672,0.0058,True
Bleo2_GFPp,Cotl1,C9 top 30,0.5135,0.099,0.4145,False
Bleo2_GFPp,Cthrc1,pathological,0.6216,0.0577,0.5639,False
Bleo2_GFPp,Ctsc,C9 top 30,0.7568,0.5282,0.2285,False
Bleo2_GFPp,Dcn,adventitial,0.6486,0.4985,0.1502,False
Bleo2_GFPp,Dock5,C9 top 30,0.027,0.017,0.01,True
Bleo2_GFPp,Elk3,C9 top 30,0.3784,0.1081,0.2703,False
Bleo2_GFPp,Enc1,C9 top 30,0.3243,0.0801,0.2442,False
Bleo2_GFPp,Fam78b,C9 top 30,0.0541,0.0182,0.0358,False
Bleo2_GFPp,Fkbp5,C9 top 30,0.2162,0.0589,0.1573,False
Bleo2_GFPp,Fn1,pathological,0.9459,0.7377,0.2082,False
Bleo2_GFPp,Fst,group definition,1.0,0.0,1.0,False
Bleo2_GFPp,Gtf2ird1,C9 top 30,0.2973,0.0571,0.2402,False
Bleo2_GFPp,Kif26b,C9 top 30,0.3514,0.0443,0.307,False
Bleo2_GFPp,Lhfpl2,C9 top 30,0.2162,0.082,0.1342,False
Bleo2_GFPp,Lrrc4,C9 top 30,0.027,0.0049,0.0222,True
Bleo2_GFPp,Ltbp2,C9 top 30,0.8649,0.4353,0.4295,False
Bleo2_GFPp,Megf11,C9 top 30,0.3514,0.034,0.3174,False
Bleo2_GFPp,Myh11,smooth_muscle,0.1081,0.1154,-0.0073,False
Bleo2_GFPp,Npnt,alveolar,0.4595,0.6424,-0.1829,False
Bleo2_GFPp,P4ha3,C9 top 30,0.5946,0.1396,0.4549,False
Bleo2_GFPp,Pdgfra,alveolar,0.4054,0.4511,-0.0457,False
Bleo2_GFPp,Pi16,adventitial,0.0541,0.0929,-0.0388,False
Bleo2_GFPp,Piezo2,C9 top 30,0.5405,0.0765,0.464,False
Bleo2_GFPp,Postn,pathological,0.5946,0.1724,0.4222,False
Bleo2_GFPp,Prrx2,C9 top 30,0.5946,0.1433,0.4513,False
Bleo2_GFPp,Rab31,C9 top 30,0.2432,0.1184,0.1248,False
Bleo2_GFPp,Rai14,C9 top 30,0.0811,0.0255,0.0556,False
Bleo2_GFPp,Rftn1,C9 top 30,0.3514,0.1014,0.25,False
Bleo2_GFPp,Rnf149,C9 top 30,0.6486,0.1615,0.4871,False
Bleo2_GFPp,Ror2,C9 top 30,0.1622,0.0504,0.1118,False
Bleo2_GFPp,Runx2,group definition,1.0,0.0,1.0,False
Bleo2_GFPp,Scube2,alveolar,0.027,0.2708,-0.2438,False
Bleo2_GFPp,Sdc1,C9 top 30,0.4324,0.0929,0.3395,False
Bleo2_GFPp,Sept9,C9 top 30,0.3243,0.0844,0.2399,False
Bleo2_GFPp,Spp1,pathological,0.6757,0.3388,0.3369,False
Bleo2_GFPp,Tcf21,alveolar,0.2703,0.5513,-0.281,False
Bleo2_GFPp,Thsd4,smooth_muscle,0.2432,0.031,0.2123,False
Bleo2_GFPp,Tnc,pathological,0.7027,0.2617,0.441,False
