cluster,n_cells,fraction_Red2Kras,median_counts,median_genes,median_pct_mt,median_doublet_score,score_alveolar fibroblast,score_adventitial fibroblast,score_reprogrammed fibroblast,score_inflammatory fibroblast,score_peri-bronchial fibroblast,score_smooth muscle,score_pericyte,score_mesothelium,score_mesothelial-like,score_proliferating,quality_verdict
4,331,0.988,11637,3718,0.94,0.0513,-0.4995,0.1346,-0.0119,0.0512,-0.4946,-0.1453,-0.1472,0.4661,0.6106,0.1026,not explained by quality
10,288,0.951,8207,2654,2.24,0.0283,-0.5135,-0.4928,0.0446,-0.356,-0.4455,-0.4185,-0.1911,-0.2095,0.1289,0.1845,not explained by quality
11,184,0.989,15473,3676,1.05,0.0615,-0.4627,-0.5264,-0.1246,-0.1094,-0.465,-0.2705,-0.1706,-0.0628,0.0213,0.0124,not explained by quality
14,937,0.996,3863,1860,1.56,0.0366,0.4401,-0.1421,0.3279,0.4356,0.3008,-0.0254,0.0712,-0.1527,-0.0253,-0.0081,not explained by quality
16,143,0.965,4424,2148,0.94,0.0639,-0.0655,-0.0622,0.2226,0.1087,-0.1487,0.1489,0.094,-0.0644,0.0051,0.5862,not explained by quality
