cluster,n_cells,fraction_Red2Kras,mean_reprogrammed_score,median_doublet_score,det_Tnc,det_Fst,det_Runx1,det_Runx2,det_Acta2,det_Pdgfrb,det_Pdgfra,det_Col13a1,det_Col14a1,det_Lcn2,det_Saa3
0,641,0.387,-0.1346,0.0351,0.153,0.016,0.443,0.042,0.423,0.125,0.828,0.724,0.285,0.022,0.017
1,1443,0.192,-0.243,0.0375,0.268,0.001,0.073,0.035,0.346,0.05,0.949,0.818,0.08,0.006,0.008
2,1377,0.559,-0.1178,0.0351,0.012,0.214,0.2,0.031,0.32,0.24,0.595,0.039,0.834,0.017,0.018
3,895,0.474,-0.0887,0.0343,0.06,0.016,0.526,0.084,0.437,0.285,0.79,0.542,0.705,0.007,0.015
4,726,0.116,-0.206,0.0446,0.037,0.011,0.24,0.022,0.388,0.14,0.835,0.689,0.364,0.008,0.012
5,636,0.739,-0.1704,0.0377,0.113,0.118,0.42,0.116,0.429,0.077,0.244,0.013,0.428,0.107,0.217
6,490,0.596,0.4725,0.0274,0.451,0.19,0.459,0.053,0.863,0.214,0.157,0.027,0.384,0.01,0.018
7,1064,0.521,0.6824,0.0288,0.264,0.052,0.185,0.007,0.997,0.352,0.022,0.021,0.235,0.005,0.006
8,111,0.631,0.5095,0.0175,0.153,0.297,0.234,0.045,0.505,0.811,0.018,0.054,0.108,0.018,0.0
9,942,0.926,0.3048,0.0366,0.378,0.248,0.493,0.192,0.541,0.295,0.7,0.47,0.191,0.18,0.135
10,106,0.925,0.2722,0.0615,0.283,0.245,0.547,0.142,0.802,0.311,0.613,0.321,0.387,0.151,0.123
