config,label,cell_floor,module,case,reference,n_patients,eligible,source_coverage,reason,mean_difference,positive_patients,loo_min,loo_max
unc20_largest_library,AT2,50,ADI_published_holdout,AAH,normal,8,False,0.64070351758794,assayed_source_gene_fraction_below_0.7,,,,
unc20_largest_library,AT2,50,ADI_published_holdout,AIS,normal,12,False,0.64070351758794,assayed_source_gene_fraction_below_0.7,,,,
unc20_largest_library,AT2,50,ADI_published_holdout,MIA,normal,4,False,0.64070351758794,assayed_source_gene_fraction_below_0.7,,,,
unc20_largest_library,AT2,50,ADI_published_holdout,LUAD,normal,23,False,0.64070351758794,assayed_source_gene_fraction_below_0.7,,,,
unc20_largest_library,AT2,50,ADI_published_holdout,LUAD,AAH,8,False,0.64070351758794,assayed_source_gene_fraction_below_0.7,,,,
unc20_largest_library,AT2,50,ADI_published_holdout,LUAD,AIS,12,False,0.64070351758794,assayed_source_gene_fraction_below_0.7,,,,
unc20_largest_library,AT2,50,ADI_published_holdout,LUAD,MIA,4,False,0.64070351758794,assayed_source_gene_fraction_below_0.7,,,,
unc20_largest_library,AT2,50,AT1_published_holdout,AAH,normal,8,True,0.842105263157895,eligible_descriptive_contrast,0.06922078291505618,5.0,0.026251790343969943,0.10023331027680271
unc20_largest_library,AT2,50,AT1_published_holdout,AIS,normal,12,True,0.842105263157895,eligible_descriptive_contrast,0.04538726934825821,8.0,0.022945079159086227,0.0868202237142226
unc20_largest_library,AT2,50,AT1_published_holdout,MIA,normal,4,True,0.842105263157895,eligible_descriptive_contrast,0.1837340410295174,4.0,0.16973724998582984,0.20773565571499
unc20_largest_library,AT2,50,AT1_published_holdout,LUAD,normal,23,True,0.842105263157895,eligible_descriptive_contrast,0.1572280791715121,18.0,0.1425325997166581,0.17169012219069993
unc20_largest_library,AT2,50,AT1_published_holdout,LUAD,AAH,8,True,0.842105263157895,eligible_descriptive_contrast,0.1092373162461987,5.0,0.06415376138556132,0.1471296920851228
unc20_largest_library,AT2,50,AT1_published_holdout,LUAD,AIS,12,True,0.842105263157895,eligible_descriptive_contrast,0.09632636210337171,9.0,0.06135345021447002,0.11318742994726914
unc20_largest_library,AT2,50,AT1_published_holdout,LUAD,MIA,4,True,0.842105263157895,eligible_descriptive_contrast,0.0050544456163672535,2.0,-0.04817963338025688,0.05345963762650641
unc20_largest_library,AT2,50,AT2_published_holdout,AAH,normal,8,True,0.864321608040201,eligible_descriptive_contrast,0.02600842449990015,5.0,0.0027073781227229888,0.0475257411282601
unc20_largest_library,AT2,50,AT2_published_holdout,AIS,normal,12,True,0.864321608040201,eligible_descriptive_contrast,0.014711736003045687,8.0,-0.0067564874455546715,0.05404409892842525
unc20_largest_library,AT2,50,AT2_published_holdout,MIA,normal,4,True,0.864321608040201,eligible_descriptive_contrast,0.08619976386991479,3.0,0.05710828883477307,0.12925268900826303
unc20_largest_library,AT2,50,AT2_published_holdout,LUAD,normal,23,True,0.864321608040201,eligible_descriptive_contrast,-0.0005961339868213021,15.0,-0.010256653010241357,0.02036267157423274
unc20_largest_library,AT2,50,AT2_published_holdout,LUAD,AAH,8,True,0.864321608040201,eligible_descriptive_contrast,-0.02063719465356506,5.0,-0.06509132678777581,0.015997521527387093
unc20_largest_library,AT2,50,AT2_published_holdout,LUAD,AIS,12,True,0.864321608040201,eligible_descriptive_contrast,-0.0042174840809323655,7.0,-0.050892937765023454,0.024918502674459185
