set	gene
HALLMARK_E2F_TARGETS	AK2
HALLMARK_E2F_TARGETS	ANP32E
HALLMARK_E2F_TARGETS	ASF1A
HALLMARK_E2F_TARGETS	ASF1B
HALLMARK_E2F_TARGETS	ATAD2
HALLMARK_E2F_TARGETS	AURKA
HALLMARK_E2F_TARGETS	AURKB
HALLMARK_E2F_TARGETS	BARD1
HALLMARK_E2F_TARGETS	BIRC5
HALLMARK_E2F_TARGETS	BRCA1
HALLMARK_E2F_TARGETS	BRCA2
HALLMARK_E2F_TARGETS	BRMS1L
HALLMARK_E2F_TARGETS	BUB1B
HALLMARK_E2F_TARGETS	CBX5
HALLMARK_E2F_TARGETS	CCNB2
HALLMARK_E2F_TARGETS	CCNE1
HALLMARK_E2F_TARGETS	CCP110
HALLMARK_E2F_TARGETS	CDC20
HALLMARK_E2F_TARGETS	CDC25A
HALLMARK_E2F_TARGETS	CDC25B
HALLMARK_E2F_TARGETS	CDCA3
HALLMARK_E2F_TARGETS	CDCA8
HALLMARK_E2F_TARGETS	CDK1
HALLMARK_E2F_TARGETS	CDK4
HALLMARK_E2F_TARGETS	CDKN1A
HALLMARK_E2F_TARGETS	CDKN1B
HALLMARK_E2F_TARGETS	CDKN2A
HALLMARK_E2F_TARGETS	CDKN2C
HALLMARK_E2F_TARGETS	CDKN3
HALLMARK_E2F_TARGETS	CENPE
HALLMARK_E2F_TARGETS	CENPM
HALLMARK_E2F_TARGETS	CHEK1
HALLMARK_E2F_TARGETS	CHEK2
HALLMARK_E2F_TARGETS	CIT
HALLMARK_E2F_TARGETS	CKS1B
HALLMARK_E2F_TARGETS	CKS2
HALLMARK_E2F_TARGETS	CNOT9
HALLMARK_E2F_TARGETS	CSE1L
HALLMARK_E2F_TARGETS	CTCF
HALLMARK_E2F_TARGETS	CTPS1
HALLMARK_E2F_TARGETS	DCK
HALLMARK_E2F_TARGETS	DCLRE1B
HALLMARK_E2F_TARGETS	DCTPP1
HALLMARK_E2F_TARGETS	DDX39A
HALLMARK_E2F_TARGETS	DEK
HALLMARK_E2F_TARGETS	DEPDC1
HALLMARK_E2F_TARGETS	DIAPH3
HALLMARK_E2F_TARGETS	DLGAP5
HALLMARK_E2F_TARGETS	DNMT1
HALLMARK_E2F_TARGETS	DONSON
HALLMARK_E2F_TARGETS	DSCC1
HALLMARK_E2F_TARGETS	DUT
HALLMARK_E2F_TARGETS	E2F8
HALLMARK_E2F_TARGETS	EED
HALLMARK_E2F_TARGETS	EIF2S1
HALLMARK_E2F_TARGETS	ESPL1
HALLMARK_E2F_TARGETS	EXOSC8
HALLMARK_E2F_TARGETS	EZH2
HALLMARK_E2F_TARGETS	GINS1
HALLMARK_E2F_TARGETS	GINS3
HALLMARK_E2F_TARGETS	GINS4
HALLMARK_E2F_TARGETS	GSPT1
HALLMARK_E2F_TARGETS	H2AX
HALLMARK_E2F_TARGETS	H2AZ1
HALLMARK_E2F_TARGETS	HELLS
HALLMARK_E2F_TARGETS	HMGA1
HALLMARK_E2F_TARGETS	HMGB2
HALLMARK_E2F_TARGETS	HMGB3
HALLMARK_E2F_TARGETS	HMMR
HALLMARK_E2F_TARGETS	HNRNPD
HALLMARK_E2F_TARGETS	HUS1
HALLMARK_E2F_TARGETS	ILF3
HALLMARK_E2F_TARGETS	ING3
HALLMARK_E2F_TARGETS	IPO7
HALLMARK_E2F_TARGETS	JPT1
HALLMARK_E2F_TARGETS	KIF18B
HALLMARK_E2F_TARGETS	KIF22
HALLMARK_E2F_TARGETS	KIF2C
HALLMARK_E2F_TARGETS	KIF4A
HALLMARK_E2F_TARGETS	KPNA2
HALLMARK_E2F_TARGETS	LBR
HALLMARK_E2F_TARGETS	LIG1
HALLMARK_E2F_TARGETS	LMNB1
HALLMARK_E2F_TARGETS	LUC7L3
HALLMARK_E2F_TARGETS	LYAR
HALLMARK_E2F_TARGETS	MAD2L1
HALLMARK_E2F_TARGETS	MCM2
HALLMARK_E2F_TARGETS	MCM3
HALLMARK_E2F_TARGETS	MCM4
HALLMARK_E2F_TARGETS	MCM5
HALLMARK_E2F_TARGETS	MCM6
HALLMARK_E2F_TARGETS	MCM7
HALLMARK_E2F_TARGETS	MELK
HALLMARK_E2F_TARGETS	MKI67
HALLMARK_E2F_TARGETS	MLH1
HALLMARK_E2F_TARGETS	MMS22L
HALLMARK_E2F_TARGETS	MRE11
HALLMARK_E2F_TARGETS	MSH2
HALLMARK_E2F_TARGETS	MTHFD2
HALLMARK_E2F_TARGETS	MXD3
HALLMARK_E2F_TARGETS	MYBL2
HALLMARK_E2F_TARGETS	MYC
HALLMARK_E2F_TARGETS	NAA38
HALLMARK_E2F_TARGETS	NAP1L1
HALLMARK_E2F_TARGETS	NASP
HALLMARK_E2F_TARGETS	NBN
HALLMARK_E2F_TARGETS	NCAPD2
HALLMARK_E2F_TARGETS	NME1
HALLMARK_E2F_TARGETS	NOLC1
HALLMARK_E2F_TARGETS	NOP56
HALLMARK_E2F_TARGETS	NUDT21
HALLMARK_E2F_TARGETS	NUP107
HALLMARK_E2F_TARGETS	NUP153
HALLMARK_E2F_TARGETS	NUP205
HALLMARK_E2F_TARGETS	ORC2
HALLMARK_E2F_TARGETS	ORC6
HALLMARK_E2F_TARGETS	PA2G4
HALLMARK_E2F_TARGETS	PAICS
HALLMARK_E2F_TARGETS	PAN2
HALLMARK_E2F_TARGETS	PCNA
HALLMARK_E2F_TARGETS	PDS5B
HALLMARK_E2F_TARGETS	PHF5A
HALLMARK_E2F_TARGETS	PLK1
HALLMARK_E2F_TARGETS	PLK4
HALLMARK_E2F_TARGETS	PMS2
