compartment	set
macrophages	HALLMARK_TNFA_SIGNALING_VIA_NFKB
macrophages	HALLMARK_INFLAMMATORY_RESPONSE
macrophages	HALLMARK_IL6_JAK_STAT3_SIGNALING
macrophages	HALLMARK_GLYCOLYSIS
macrophages	HALLMARK_OXIDATIVE_PHOSPHORYLATION
macrophages	HALLMARK_HYPOXIA
macrophages	HALLMARK_INTERFERON_GAMMA_RESPONSE
fibroblasts	HALLMARK_TNFA_SIGNALING_VIA_NFKB
fibroblasts	HALLMARK_INFLAMMATORY_RESPONSE
fibroblasts	HALLMARK_IL6_JAK_STAT3_SIGNALING
fibroblasts	HALLMARK_TGF_BETA_SIGNALING
fibroblasts	HALLMARK_WNT_BETA_CATENIN_SIGNALING
fibroblasts	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
AT2	HALLMARK_TNFA_SIGNALING_VIA_NFKB
AT2	HALLMARK_INFLAMMATORY_RESPONSE
AT2	HALLMARK_IL6_JAK_STAT3_SIGNALING
AT2	HALLMARK_HYPOXIA
AT2	HALLMARK_GLYCOLYSIS
AT2	HALLMARK_P53_PATHWAY
AT2	HALLMARK_E2F_TARGETS
AT2	HALLMARK_G2M_CHECKPOINT
