species	block	set	set_genes	genes_assayed	fraction
mouse	primary_block_growth	HALLMARK_E2F_TARGETS	199	194	0.9749
mouse	primary_block_growth	HALLMARK_G2M_CHECKPOINT	195	188	0.9641
mouse	primary_block_growth	HALLMARK_MYC_TARGETS_V1	197	190	0.9645
mouse	primary_block_growth	HALLMARK_APOPTOSIS	161	161	1.0
mouse	primary_block_growth	HALLMARK_P53_PATHWAY	200	195	0.975
mouse	primary_block_growth	HALLMARK_MTORC1_SIGNALING	199	191	0.9598
mouse	secondary_block_niche_signalling	HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	42	1.0
mouse	secondary_block_niche_signalling	HALLMARK_TGF_BETA_SIGNALING	53	53	1.0
mouse	secondary_block_niche_signalling	HALLMARK_NOTCH_SIGNALING	32	31	0.9688
mouse	secondary_block_niche_signalling	HALLMARK_HEDGEHOG_SIGNALING	36	36	1.0
mouse	secondary_block_niche_signalling	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	194	192	0.9897
mouse	secondary_block_environment	HALLMARK_HYPOXIA	199	195	0.9799
mouse	secondary_block_environment	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	111	105	0.9459
mouse	secondary_block_environment	HALLMARK_INFLAMMATORY_RESPONSE	197	197	1.0
mouse	secondary_block_environment	HALLMARK_TNFA_SIGNALING_VIA_NFKB	196	194	0.9898
human	primary_block_growth	HALLMARK_E2F_TARGETS	200	198	0.99
human	primary_block_growth	HALLMARK_G2M_CHECKPOINT	200	195	0.975
human	primary_block_growth	HALLMARK_MYC_TARGETS_V1	200	195	0.975
human	primary_block_growth	HALLMARK_APOPTOSIS	161	160	0.9938
human	primary_block_growth	HALLMARK_P53_PATHWAY	200	196	0.98
human	primary_block_growth	HALLMARK_MTORC1_SIGNALING	200	195	0.975
human	secondary_block_niche_signalling	HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	42	1.0
human	secondary_block_niche_signalling	HALLMARK_TGF_BETA_SIGNALING	54	54	1.0
human	secondary_block_niche_signalling	HALLMARK_NOTCH_SIGNALING	32	32	1.0
human	secondary_block_niche_signalling	HALLMARK_HEDGEHOG_SIGNALING	36	36	1.0
human	secondary_block_niche_signalling	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	198	0.99
human	secondary_block_environment	HALLMARK_HYPOXIA	200	197	0.985
human	secondary_block_environment	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	108	0.9558
human	secondary_block_environment	HALLMARK_INFLAMMATORY_RESPONSE	200	200	1.0
human	secondary_block_environment	HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	198	0.99
