programme_set	baseline	check	wells	baseline_r2	epithelial_increment	fibroblast_increment	epithelial_clears_margin	fibroblast_clears_margin
frozen_repair_modules	pooled	primary	885	0.5864	0.0144	0.023	False	True
frozen_repair_modules	pooled	drop TIGIT	798	0.5803	0.0163	0.0179	False	False
frozen_repair_modules	pooled	drop TDTOMATO	856	0.6236	0.0113	0.0222	False	True
frozen_repair_modules	pooled	drop both	769	0.6201	0.0134	0.0159	False	False
frozen_repair_modules	within_unit	primary	885	0.3774	0.0036	0.0161	False	False
frozen_repair_modules	within_unit	drop TIGIT	798	0.3944	0.0093	0.0081	False	False
frozen_repair_modules	within_unit	drop TDTOMATO	856	0.4176	0.0065	0.016	False	False
frozen_repair_modules	within_unit	drop both	769	0.4382	0.0137	0.0083	False	False
growth_hallmark	pooled	primary	885	0.5864	0.0136	-0.0017	False	False
growth_hallmark	pooled	drop TIGIT	798	0.5803	0.0156	-0.0059	False	False
growth_hallmark	pooled	drop TDTOMATO	856	0.6236	0.0143	-0.0048	False	False
growth_hallmark	pooled	drop both	769	0.6201	0.0162	-0.01	False	False
growth_hallmark	within_unit	primary	885	0.3774	0.0426	-0.0154	True	False
growth_hallmark	within_unit	drop TIGIT	798	0.3944	0.0414	-0.0169	True	False
growth_hallmark	within_unit	drop TDTOMATO	856	0.4176	0.0485	-0.013	True	False
growth_hallmark	within_unit	drop both	769	0.4382	0.046	-0.0142	True	False
