library name	plate	unit	well_key	crispr_target	gene_name	gene_id	organoids_area_mean_day07	organoids_area_mean_day14	organoids_area_prop_day07	organoids_area_prop_day14	organoids_count_day07	organoids_count_day14
1-1_B02_MET	plate1	plate1-rep1	B02	MET	Met	ENSMUSG00000009376	6.15607959648935	7.58605180806375	0.0085091809772903	0.0485514369012911	50.0	80.0
1-1_B03_GLIS3	plate1	plate1-rep1	B03	GLIS3	Glis3	ENSMUSG00000052942	6.6285984640188	8.08737243713916	0.0314659259939048	0.113583840066639	106.0	133.0
1-1_B04_TIGIT	plate1	plate1-rep1	B04	TIGIT	Tigit	ENSMUSG00000071552	6.83093261750126	8.06346283625319	0.0389978835189795	0.111760599750104	139.0	128.0
1-1_B05_TDTOMATO	plate1	plate1-rep1	B05	TDTOMATO	nan	nan	6.68453466766495	8.51512221742426	0.0082427089427536	0.0551948354852145	24.0	25.0
1-1_B06_TRP53	plate1	plate1-rep1	B06	TRP53	Trp53	ENSMUSG00000059552	7.67661328312689	8.94050025210095	0.161531523522191	0.297441066222407	214.0	170.0
1-1_B07_ACP6	plate1	plate1-rep1	B07	ACP6	Acp6	ENSMUSG00000028093	6.77414348203624	8.16546986837387	0.043433985675993	0.103629321116202	111.0	103.0
1-1_B08_PINK1	plate1	plate1-rep1	B08	PINK1	Pink1	ENSMUSG00000028756	6.71014661533403	8.08772294402108	0.0341069864904653	0.0961997501041233	94.0	113.0
1-1_B09_EIF2AK3	plate1	plate1-rep1	B09	EIF2AK3	Eif2ak3	ENSMUSG00000031668	6.78807299670644	8.22381176349542	0.0328802591781094	0.118779841732611	101.0	119.0
1-1_B10_CCBE1	plate1	plate1-rep1	B10	CCBE1	Ccbe1	ENSMUSG00000046318	6.68921721623039	8.27225785365615	0.0333563240146987	0.107891378592253	97.0	111.0
1-1_B11_GDF2	plate1	plate1-rep1	B11	GDF2	Gdf2	ENSMUSG00000072625	6.84497992988194	8.17602018923431	0.0587693915164864	0.13566830487297	99.0	114.0
1-1_C02_TEAD1	plate1	plate1-rep1	C02	TEAD1	Tead1	ENSMUSG00000055320	6.68247081860677	8.23526746686419	0.0354319380236235	0.119697959183673	101.0	114.0
1-1_C03_MECOM	plate1	plate1-rep1	C03	MECOM	Mecom	ENSMUSG00000027684	6.76401261408144	8.13899089048252	0.0617751482683859	0.107697792586422	103.0	125.0
