field	median_fraction_of_input	min	max
xenome_numReadsGraft	0.1739	0.0405	0.4299
xenome_numReadsHost	0.5816	0.3037	0.8017
xenome_numReadsAmbiguous	0.0338	0.0075	0.1542
xenome_numReadsBoth	0.1119	0.0153	0.3781
xenome_numReadsNeither	0.069	0.0283	0.3668
