unit	plate	replicate_index	rna_libraries	imaging_rows	wells_with_both_days	wells_with_rna_and_both_days	distinct_targets
plate1-rep1	plate1	1	60	120	60	60	53
plate1-rep2	plate1	2	58	116	58	58	53
plate1-rep3	plate1	3	56	112	56	56	49
plate1-rep4	plate1	4	58	116	58	58	51
plate2-rep1	plate2	1	0	112	56	0	0
plate2-rep2	plate2	2	59	118	59	59	54
plate2-rep3	plate2	3	57	114	57	57	51
plate2-rep4	plate2	4	58	116	58	58	52
plate3-rep1	plate3	1	60	120	60	60	53
plate3-rep2	plate3	2	60	119	59	59	53
plate3-rep3	plate3	3	60	120	60	60	53
plate3-rep4	plate3	4	60	120	60	60	53
plate4-rep1	plate4	1	60	120	60	60	51
plate4-rep2	plate4	2	60	120	60	60	51
plate4-rep3	plate4	3	60	120	60	60	51
plate4-rep4	plate4	4	60	120	60	60	51
