compartment,det_Hbegf_flox_plus,det_Hbegf_flox_flox,retained_fraction,survives
alveolar macrophage-like,0.0847,0.0259,0.306,False
endothelial,0.2432,0.1842,0.757,True
epithelial,0.3321,0.2263,0.681,False
lymphoid,0.0159,0.0186,1.17,True
mesenchymal,0.1135,0.0928,0.818,True
neutrophil,0.1783,0.0624,0.35,False
other immune,0.0258,0.0391,1.516,True
other myeloid,0.0457,0.0196,0.429,False
