library,hAT2_n,cAT2_n,DATP_n,AT1_n,hAT2_frac,cAT2_frac,DATP_frac,AT1_frac,alveolar_cells,contaminant_cells
PBS_AT2_Tomato,4185,5,13,52,0.9835487661574618,0.0011750881316098707,0.003055229142185664,0.012220916568742655,4255,64
Day14_AT2_Tomato,2626,261,668,106,0.7172903578257307,0.07129199672220704,0.18246380770281345,0.02895383774924884,3661,129
Day28_AT2_Tomato,2735,47,199,179,0.865506329113924,0.014873417721518987,0.0629746835443038,0.05664556962025316,3160,414
