resource,ligand,receptor,human_ligand,human_receptor,family
consensus,Wnt9b,Fzd4_Lrp5,WNT9B,FZD4_LRP5,exploratory
consensus,Wnt9b,Fzd10_Lrp5,WNT9B,FZD10_LRP5,exploratory
consensus,Wnt9b,Fzd1_Lrp5,WNT9B,FZD1_LRP5,exploratory
consensus,Wnt9b,Fzd5_Lrp6,WNT9B,FZD5_LRP6,exploratory
consensus,Wnt9b,Fzd2_Lrp6,WNT9B,FZD2_LRP6,exploratory
consensus,Wnt9b,Fzd8_Lrp6,WNT9B,FZD8_LRP6,exploratory
consensus,Wnt9b,Fzd3_Lrp6,WNT9B,FZD3_LRP6,exploratory
consensus,Wnt9b,Fzd4_Lrp6,WNT9B,FZD4_LRP6,exploratory
consensus,Wnt9b,Fzd10_Lrp6,WNT9B,FZD10_LRP6,exploratory
consensus,Wnt9b,Fzd1_Lrp6,WNT9B,FZD1_LRP6,exploratory
consensus,Fgf10,Fgfr1,FGF10,FGFR1,exploratory
consensus,Fgf10,Fgfr2,FGF10,FGFR2,exploratory
consensus,Fgf10,Fgfrl1,FGF10,FGFRL1,exploratory
consensus,Wnt11,Fzd9,WNT11,FZD9,exploratory
consensus,Wnt11,Musk,WNT11,MUSK,exploratory
consensus,Wnt11,Fzd6,WNT11,FZD6,exploratory
consensus,Wnt11,Fzd7,WNT11,FZD7,exploratory
consensus,Wnt11,Fzd5,WNT11,FZD5,exploratory
consensus,Wnt11,Fzd2,WNT11,FZD2,exploratory
consensus,Wnt11,Fzd8,WNT11,FZD8,exploratory
consensus,Wnt11,Fzd3,WNT11,FZD3,exploratory
consensus,Wnt11,Fzd4,WNT11,FZD4,exploratory
consensus,Wnt11,Fzd10,WNT11,FZD10,exploratory
consensus,Tgfb1,Itgav_Itgb6,TGFB1,ITGAV_ITGB6,core
consensus,Tgfb1,Acvr1b_Tgfbr2,TGFB1,ACVR1B_TGFBR2,core
consensus,Tgfb1,Tgfbr1_Tgfbr2,TGFB1,TGFBR1_TGFBR2,core
consensus,Tgfb1,Acvr1_Tgfbr1_Tgfbr2,TGFB1,ACVR1_TGFBR1_TGFBR2,core
consensus,Tgfb1,Acvr1_Tgfbr2,TGFB1,ACVR1_TGFBR2,core
consensus,Tgfb1,Acvr1c_Tgfbr2,TGFB1,ACVR1C_TGFBR2,core
consensus,Tgfb1,Egfr,TGFB1,EGFR,core
consensus,Tgfb1,Itgb3,TGFB1,ITGB3,core
consensus,Tgfb1,Itgb1,TGFB1,ITGB1,core
consensus,Tgfb1,Itgb5,TGFB1,ITGB5,core
consensus,Tgfb1,Itgb8,TGFB1,ITGB8,core
consensus,Tgfb1,Sdc2,TGFB1,SDC2,core
consensus,Tgfb1,Acvrl1,TGFB1,ACVRL1,core
consensus,Tgfb1,Cxcr4,TGFB1,CXCR4,core
consensus,Tgfb1,Tgfbr3,TGFB1,TGFBR3,core
consensus,Tgfb1,Vasn,TGFB1,VASN,core
consensus,Il1a,Il1r1_Il1rap,IL1A,IL1R1_IL1RAP,core
consensus,Il1a,Il1r2_Il1rap,IL1A,IL1R2_IL1RAP,core
consensus,Il1b,Il1r1_Il1rap,IL1B,IL1R1_IL1RAP,core
consensus,Il1b,Il1r2_Il1rap,IL1B,IL1R2_IL1RAP,core
consensus,Il1b,Adrb2,IL1B,ADRB2,core
consensus,Il1b,Sigirr,IL1B,SIGIRR,core
consensus,Wnt1,Fzd9_Lrp5,WNT1,FZD9_LRP5,exploratory
consensus,Wnt1,Fzd9_Lrp6,WNT1,FZD9_LRP6,exploratory
consensus,Wnt1,Fzd6_Lrp5,WNT1,FZD6_LRP5,exploratory
consensus,Wnt1,Fzd6_Lrp6,WNT1,FZD6_LRP6,exploratory
consensus,Wnt1,Fzd7_Lrp5,WNT1,FZD7_LRP5,exploratory
consensus,Wnt1,Fzd7_Lrp6,WNT1,FZD7_LRP6,exploratory
consensus,Wnt1,Fzd5_Lrp5,WNT1,FZD5_LRP5,exploratory
consensus,Wnt1,Fzd2_Lrp5,WNT1,FZD2_LRP5,exploratory
consensus,Wnt1,Fzd8_Lrp5,WNT1,FZD8_LRP5,exploratory
consensus,Wnt1,Fzd3_Lrp5,WNT1,FZD3_LRP5,exploratory
consensus,Wnt1,Fzd4_Lrp5,WNT1,FZD4_LRP5,exploratory
consensus,Wnt1,Fzd10_Lrp5,WNT1,FZD10_LRP5,exploratory
consensus,Wnt1,Fzd1_Lrp5,WNT1,FZD1_LRP5,exploratory
consensus,Wnt1,Fzd5_Lrp6,WNT1,FZD5_LRP6,exploratory
consensus,Wnt1,Fzd2_Lrp6,WNT1,FZD2_LRP6,exploratory
consensus,Wnt1,Fzd8_Lrp6,WNT1,FZD8_LRP6,exploratory
consensus,Wnt1,Fzd3_Lrp6,WNT1,FZD3_LRP6,exploratory
consensus,Wnt1,Fzd4_Lrp6,WNT1,FZD4_LRP6,exploratory
consensus,Wnt1,Fzd10_Lrp6,WNT1,FZD10_LRP6,exploratory
consensus,Wnt1,Fzd1_Lrp6,WNT1,FZD1_LRP6,exploratory
consensus,Wnt1,Cd36,WNT1,CD36,exploratory
consensus,Wnt1,Ryk,WNT1,RYK,exploratory
consensus,Wnt1,Ror2,WNT1,ROR2,exploratory
consensus,Wnt2,Fzd9_Lrp5,WNT2,FZD9_LRP5,exploratory
consensus,Wnt2,Fzd9_Lrp6,WNT2,FZD9_LRP6,exploratory
consensus,Wnt2,Fzd6_Lrp5,WNT2,FZD6_LRP5,exploratory
consensus,Wnt2,Fzd6_Lrp6,WNT2,FZD6_LRP6,exploratory
consensus,Wnt2,Fzd7_Lrp5,WNT2,FZD7_LRP5,exploratory
consensus,Wnt2,Fzd7_Lrp6,WNT2,FZD7_LRP6,exploratory
consensus,Wnt2,Fzd5_Lrp5,WNT2,FZD5_LRP5,exploratory
consensus,Wnt2,Fzd2_Lrp5,WNT2,FZD2_LRP5,exploratory
consensus,Wnt2,Fzd8_Lrp5,WNT2,FZD8_LRP5,exploratory
consensus,Wnt2,Fzd3_Lrp5,WNT2,FZD3_LRP5,exploratory
consensus,Wnt2,Fzd4_Lrp5,WNT2,FZD4_LRP5,exploratory
consensus,Wnt2,Fzd10_Lrp5,WNT2,FZD10_LRP5,exploratory
consensus,Wnt2,Fzd1_Lrp5,WNT2,FZD1_LRP5,exploratory
