compartment	set
myeloid	HALLMARK_TNFA_SIGNALING_VIA_NFKB
myeloid	HALLMARK_INFLAMMATORY_RESPONSE
myeloid	HALLMARK_IL6_JAK_STAT3_SIGNALING
myeloid	HALLMARK_GLYCOLYSIS
myeloid	HALLMARK_OXIDATIVE_PHOSPHORYLATION
myeloid	HALLMARK_HYPOXIA
myeloid	HALLMARK_INTERFERON_GAMMA_RESPONSE
fibroblast	HALLMARK_TNFA_SIGNALING_VIA_NFKB
fibroblast	HALLMARK_INFLAMMATORY_RESPONSE
fibroblast	HALLMARK_IL6_JAK_STAT3_SIGNALING
fibroblast	HALLMARK_TGF_BETA_SIGNALING
fibroblast	HALLMARK_WNT_BETA_CATENIN_SIGNALING
fibroblast	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
alveolar	HALLMARK_TNFA_SIGNALING_VIA_NFKB
alveolar	HALLMARK_INFLAMMATORY_RESPONSE
alveolar	HALLMARK_IL6_JAK_STAT3_SIGNALING
alveolar	HALLMARK_HYPOXIA
alveolar	HALLMARK_GLYCOLYSIS
alveolar	HALLMARK_P53_PATHWAY
alveolar	HALLMARK_E2F_TARGETS
alveolar	HALLMARK_G2M_CHECKPOINT
