cluster,n_cells,call,mode_fraction,confident,top_score
0,2164,DATP_like,0.873,True,0.831
1,1615,DATP_like,0.972,True,0.8478
2,499,cycling,0.673,True,1.2848
3,2260,AT2,0.881,True,1.5114
4,2305,AT2,0.999,True,2.1828
5,973,AT1_like,0.593,True,0.8128
6,119,cycling,0.538,True,-0.0018
7,819,DATP_like,0.673,True,0.6079
8,25,AT2,0.8,True,0.7919
9,456,AT2,1.0,True,2.2176
10,115,AT2,0.93,True,1.534
