compartment,genotype,call,n_cells,pct_of_compartment,n_clusters,weakest_mode_fraction
RFP+ epithelium,Areg-flox/+,AT1_like,1019,16.61,2,0.44
RFP+ epithelium,Areg-flox/+,AT2,1798,29.31,3,0.417
RFP+ epithelium,Areg-flox/+,DATP_like,2896,47.2,4,0.463
RFP+ epithelium,Areg-flox/+,cycling,422,6.88,2,0.491
RFP+ epithelium,Areg-flox/flox,AT1_like,487,9.34,2,0.44
RFP+ epithelium,Areg-flox/flox,AT2,3101,59.46,3,0.417
RFP+ epithelium,Areg-flox/flox,DATP_like,1178,22.59,4,0.463
RFP+ epithelium,Areg-flox/flox,cycling,449,8.61,2,0.491
