compartment,cluster,call,mode_fraction,n_cells,n_flox_plus,n_flox_flox,ratio_flox_plus_over_flox_flox
RFP+ epithelium,1,DATP_like,0.936,1823,1712,111,15.42
niche,14,mesothelium,0.429,387,353,34,10.38
niche,19,alveolar macrophage,0.86,343,310,33,9.39
niche,13,smooth muscle,0.305,118,99,19,5.21
RFP+ epithelium,8,cycling,0.769,65,54,11,4.91
RFP+ epithelium,7,DATP_like,0.695,814,675,139,4.86
niche,17,reprogrammed fibroblast,0.384,255,210,45,4.67
niche,6,monocyte/interstitial macrophage,0.448,611,428,183,2.34
RFP+ epithelium,0,AT1_like,0.44,1495,1014,481,2.11
niche,12,adventitial fibroblast,0.986,278,181,97,1.87
RFP+ epithelium,4,AT2,0.894,2174,1363,811,1.68
RFP+ epithelium,5,DATP_like,0.463,67,36,31,1.16
niche,18,alveolar fibroblast,0.831,71,33,38,0.87
niche,8,mesothelium,0.996,487,224,263,0.85
RFP+ epithelium,2,cycling,0.491,806,368,438,0.84
RFP+ epithelium,9,AT1_like,0.636,11,5,6,0.83
niche,0,adventitial fibroblast,0.979,1786,804,982,0.82
niche,10,alveolar fibroblast,0.614,1895,803,1092,0.74
niche,3,reprogrammed fibroblast,0.375,1521,647,874,0.74
niche,2,proliferating,0.427,1716,668,1048,0.64
niche,1,smooth muscle,0.924,851,316,535,0.59
niche,9,monocyte/interstitial macrophage,0.696,644,229,415,0.55
RFP+ epithelium,6,DATP_like,0.981,1370,473,897,0.53
niche,5,monocyte/interstitial macrophage,0.308,156,53,103,0.51
niche,7,monocyte/interstitial macrophage,0.491,495,165,330,0.5
niche,15,proliferating,0.538,1800,589,1211,0.49
niche,21,peri-bronchial fibroblast,0.825,497,157,340,0.46
niche,11,monocyte/interstitial macrophage,0.659,478,151,327,0.46
niche,4,adventitial fibroblast,0.65,761,225,536,0.42
niche,20,mesothelium,0.448,105,26,79,0.33
niche,16,alveolar fibroblast,0.998,1155,251,904,0.28
RFP+ epithelium,10,AT2,0.417,24,4,20,0.2
RFP+ epithelium,3,AT2,0.999,2701,431,2270,0.19
