sample_id,day,phase,lineage,compartment,n_cells,n_cells_animal,n_cells_compartment,pct_of_all_cells,pct_within_compartment
EEM-scRNA-158,0,baseline,Endothelium,CD45neg,2038,4736,3828,43.032,53.239
EEM-scRNA-158,0,baseline,Epithelium,CD45neg,470,4736,3828,9.924,12.278
EEM-scRNA-158,0,baseline,Lymphoid,CD45pos,398,4736,908,8.404,43.833
EEM-scRNA-158,0,baseline,Mesenchyme,CD45neg,1320,4736,3828,27.872,34.483
EEM-scRNA-158,0,baseline,Myeloid,CD45pos,510,4736,908,10.769,56.167
EEM-scRNA-166,0,baseline,Endothelium,CD45neg,2301,4960,4004,46.391,57.468
EEM-scRNA-166,0,baseline,Epithelium,CD45neg,241,4960,4004,4.859,6.019
EEM-scRNA-166,0,baseline,Lymphoid,CD45pos,383,4960,956,7.722,40.063
EEM-scRNA-166,0,baseline,Mesenchyme,CD45neg,1462,4960,4004,29.476,36.513
EEM-scRNA-166,0,baseline,Myeloid,CD45pos,573,4960,956,11.552,59.937
EEM-scRNA-113,6,active repair,Endothelium,CD45neg,1240,2595,2300,47.784,53.913
EEM-scRNA-113,6,active repair,Epithelium,CD45neg,227,2595,2300,8.748,9.87
EEM-scRNA-113,6,active repair,Lymphoid,CD45pos,109,2595,295,4.2,36.949
EEM-scRNA-113,6,active repair,Mesenchyme,CD45neg,833,2595,2300,32.1,36.217
EEM-scRNA-113,6,active repair,Myeloid,CD45pos,186,2595,295,7.168,63.051
EEM-scRNA-162,6,active repair,Endothelium,CD45neg,2520,4654,3768,54.147,66.879
EEM-scRNA-162,6,active repair,Epithelium,CD45neg,228,4654,3768,4.899,6.051
EEM-scRNA-162,6,active repair,Lymphoid,CD45pos,297,4654,886,6.382,33.521
EEM-scRNA-162,6,active repair,Mesenchyme,CD45neg,1020,4654,3768,21.917,27.07
EEM-scRNA-162,6,active repair,Myeloid,CD45pos,589,4654,886,12.656,66.479
EEM-scRNA-116,11,active repair,Endothelium,CD45neg,1963,3935,3524,49.886,55.704
EEM-scRNA-116,11,active repair,Epithelium,CD45neg,169,3935,3524,4.295,4.796
