"config","comp","label","cell_floor","case","reference","n_patients","genes_tested","residual_df","patient_ids"
"unc20_pooled","AT2","AT2",50,"AAH","normal",8,12249,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","AT2",50,"AIS","normal",12,12679,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","AT2",50,"MIA","normal",4,11422,3,"10;13;15;18"
"unc20_pooled","AT2","AT2",50,"LUAD","normal",23,13329,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","AT2","AT2",50,"LUAD","AAH",8,12844,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","AT2",50,"LUAD","AIS",12,13047,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","AT2",50,"LUAD","MIA",4,12024,3,"10;13;15;18"
"unc20_pooled","AT2","AT2",30,"AAH","normal",8,12249,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","AT2",30,"AIS","normal",12,12679,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","AT2",30,"MIA","normal",4,11422,3,"10;13;15;18"
"unc20_pooled","AT2","AT2",30,"LUAD","normal",23,13329,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","AT2","AT2",30,"LUAD","AAH",8,12844,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","AT2",30,"LUAD","AIS",12,13047,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","AT2",30,"LUAD","MIA",4,12024,3,"10;13;15;18"
"unc20_pooled","AT2","AT2",100,"AAH","normal",8,12249,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","AT2",100,"AIS","normal",11,12646,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","AT2",100,"MIA","normal",3,11519,2,"10;15;18"
"unc20_pooled","AT2","AT2",100,"LUAD","normal",22,13403,21,"3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","AT2","AT2",100,"LUAD","AAH",8,12844,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","AT2",100,"LUAD","AIS",11,13235,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","AT2",100,"LUAD","MIA",4,12024,3,"10;13;15;18"
"unc20_pooled","AT2","__broad__",50,"AAH","normal",8,12269,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","__broad__",50,"AIS","normal",12,12705,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","__broad__",50,"MIA","normal",4,11425,3,"10;13;15;18"
"unc20_pooled","AT2","__broad__",50,"LUAD","normal",23,13388,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
