config,cell_floor,prior_count,view,resource,family,ligand,receptor,source,source_label,target,target_label,case,reference,biological_role,n_patients,difference_case_minus_reference,ligand_component_difference,receptor_component_difference,loo_min,loo_max
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,8,-0.23290789980184345,-0.2433110893119526,-0.2225047102917337,-0.28574628836703325,-0.1430836703570661
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,11,-0.19671747043985957,-0.12518145436274075,-0.26825348651697817,-0.248539035358964,-0.15486132753768303
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,MIA,normal,resource_RNA_compatibility_only,4,-0.47924317694762286,-0.1937588028741677,-0.7647275510210778,-0.7118988055989556,-0.3248515055039786
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,LUAD,normal,resource_RNA_compatibility_only,22,-0.6546280624748335,-0.7639286248771328,-0.545327500072534,-0.7431873532859782,-0.5743891567486287
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,LUAD,AAH,resource_RNA_compatibility_only,8,-0.4305664229588679,-0.5832772780821249,-0.2778555678356115,-0.517968526300217,-0.3204488393849812
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,LUAD,AIS,resource_RNA_compatibility_only,11,-0.2638077346473866,-0.4171362117000083,-0.11047925759476533,-0.4043590014748972,-0.08335916462163126
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,LUAD,MIA,resource_RNA_compatibility_only,4,-0.40128754698622715,-0.6863381490513024,-0.11623694492115244,-0.49691203958266633,-0.23067368225132304
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,8,-0.14156166276245408,-0.2433110893119526,-0.039812236212955154,-0.20241373069977456,-0.08750714409524031
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,11,-0.19660399810886034,-0.12518145436274075,-0.26802654185498026,-0.26797532762538234,-0.11272683667179591
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,MIA,normal,resource_RNA_compatibility_only,4,-0.2577309891945503,-0.1937588028741677,-0.3217031755149329,-0.5892138134360586,-0.07116326559582327
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,LUAD,normal,resource_RNA_compatibility_only,22,-0.7543917459272591,-0.7639286248771328,-0.7448548669773856,-0.806098171622241,-0.6735992850499324
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,LUAD,AAH,resource_RNA_compatibility_only,8,-0.5659316654838499,-0.5832772780821249,-0.548586052885575,-0.645392838913832,-0.4225704117183677
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,LUAD,AIS,resource_RNA_compatibility_only,11,-0.45910443061606904,-0.4171362117000083,-0.5010726495321299,-0.6362036704796945,-0.26396419553749395
