patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
3,AIS,AT1,other,subtype,143,272593,GSM9237902,1,0.2,pooled,unc20_pooled_0000
3,AIS,AT2,AT2,subtype,673,1491795,GSM9237902,1,0.2,pooled,unc20_pooled_0001
3,AIS,Adventitial fibroblasts,fibroblasts,subtype,21,36629,GSM9237902,1,0.2,pooled,unc20_pooled_0002
3,AIS,Alveolar fibroblasts,fibroblasts,subtype,102,151845,GSM9237902,1,0.2,pooled,unc20_pooled_0003
3,AIS,B cells,other,subtype,11,18125,GSM9237902,1,0.2,pooled,unc20_pooled_0004
3,AIS,Basal resting,other,subtype,21,28250,GSM9237902,1,0.2,pooled,unc20_pooled_0005
3,AIS,CD4 T cells,other,subtype,28,41614,GSM9237902,1,0.2,pooled,unc20_pooled_0006
3,AIS,CD8 T cells,other,subtype,11,19472,GSM9237902,1,0.2,pooled,unc20_pooled_0007
3,AIS,Classical monocytes,other,subtype,2,2313,GSM9237902,1,0.2,pooled,unc20_pooled_0008
3,AIS,EC aerocyte capillary,other,subtype,5,5985,GSM9237902,1,0.2,pooled,unc20_pooled_0009
3,AIS,EC arterial,other,subtype,14,17889,GSM9237902,1,0.2,pooled,unc20_pooled_0010
3,AIS,EC general capillary,other,subtype,4,4417,GSM9237902,1,0.2,pooled,unc20_pooled_0011
3,AIS,EC venous pulmonary,other,subtype,10,12379,GSM9237902,1,0.2,pooled,unc20_pooled_0012
3,AIS,EC venous systemic,other,subtype,2,2735,GSM9237902,1,0.2,pooled,unc20_pooled_0013
3,AIS,Goblet (bronchial),other,subtype,1,1733,GSM9237902,1,0.2,pooled,unc20_pooled_0014
3,AIS,Goblet (nasal),other,subtype,11,43951,GSM9237902,1,0.2,pooled,unc20_pooled_0015
3,AIS,Lymphatic EC differentiating,other,subtype,16,22611,GSM9237902,1,0.2,pooled,unc20_pooled_0016
3,AIS,Lymphatic EC mature,other,subtype,1,1957,GSM9237902,1,0.2,pooled,unc20_pooled_0017
3,AIS,Mast cells,other,subtype,10,14634,GSM9237902,1,0.2,pooled,unc20_pooled_0018
3,AIS,Monocyte-derived Mph,macrophages,subtype,31,76794,GSM9237902,1,0.2,pooled,unc20_pooled_0019
3,AIS,Multiciliated (non-nasal),other,subtype,110,388615,GSM9237902,1,0.2,pooled,unc20_pooled_0020
3,AIS,Non-classical monocytes,other,subtype,16,22836,GSM9237902,1,0.2,pooled,unc20_pooled_0021
3,AIS,Pericytes,other,subtype,6,7503,GSM9237902,1,0.2,pooled,unc20_pooled_0022
3,AIS,Plasma cells,other,subtype,6,8109,GSM9237902,1,0.2,pooled,unc20_pooled_0023
3,LUAD,AT1,other,subtype,179,338280,GSM9237903,1,0.2,pooled,unc20_pooled_0024
3,LUAD,AT2,AT2,subtype,310,934100,GSM9237903,1,0.2,pooled,unc20_pooled_0025
