patient,histology,resource,config,common_pairs,edge_jaccard,shared_edge_spearman,shared_edges
5,LUAD,consensus,expression020,19,0.5693160813308688,1.0,308
5,LUAD,cellchatdb,expression020,19,0.37037037037037035,1.0,40
5,LUAD,consensus,uncertainty030,19,0.9256637168141593,0.8715109621136115,523
5,LUAD,cellchatdb,uncertainty030,19,0.8928571428571429,0.7925438863713222,100
5,LUAD,consensus,largest_library,19,1.0,1.0,541
5,LUAD,cellchatdb,largest_library,19,1.0,1.0,108
5,normal,consensus,cap500_seed1,5,0.9259259259259259,0.7169985894275163,100
5,normal,cellchatdb,cap500_seed1,5,0.9259259259259259,1.0,25
5,normal,consensus,cap500_seed2,5,0.9433962264150944,0.746839439392636,100
5,normal,cellchatdb,cap500_seed2,5,0.9259259259259259,1.0,25
5,normal,consensus,floor30,5,1.0,1.0,100
5,normal,cellchatdb,floor30,5,1.0,1.0,25
5,normal,consensus,floor100,5,1.0,1.0,100
5,normal,cellchatdb,floor100,5,1.0,1.0,25
5,normal,consensus,expression005,5,0.49261083743842365,1.0,100
5,normal,cellchatdb,expression005,5,0.43859649122807015,1.0,25
5,normal,consensus,expression020,5,0.62,1.0,62
5,normal,cellchatdb,expression020,5,0.32,1.0,8
5,normal,consensus,uncertainty030,5,0.9339622641509434,0.7640279968381877,99
5,normal,cellchatdb,uncertainty030,5,0.9259259259259259,1.0,25
5,normal,consensus,largest_library,5,1.0,1.0,100
5,normal,cellchatdb,largest_library,5,1.0,1.0,25
6,AAH,consensus,cap500_seed1,5,1.0,1.0,86
6,AAH,cellchatdb,cap500_seed1,5,1.0,1.0,14
6,AAH,consensus,cap500_seed2,5,1.0,1.0,86
6,AAH,cellchatdb,cap500_seed2,5,1.0,1.0,14
6,AAH,consensus,floor30,5,1.0,1.0,86
6,AAH,cellchatdb,floor30,5,1.0,1.0,14
6,AAH,consensus,floor100,2,1.0,1.0,24
6,AAH,cellchatdb,floor100,2,1.0,,3
6,AAH,consensus,expression005,5,0.5620915032679739,1.0,86
6,AAH,cellchatdb,expression005,5,0.3783783783783784,1.0,14
6,AAH,consensus,expression020,5,0.45348837209302323,1.0,39
6,AAH,cellchatdb,expression020,5,0.5,1.0,7
6,AAH,consensus,uncertainty030,5,0.9885057471264368,0.9500330996554626,86
6,AAH,cellchatdb,uncertainty030,5,1.0,0.8480264949694749,14
6,AAH,consensus,largest_library,5,1.0,1.0,86
6,AAH,cellchatdb,largest_library,5,1.0,1.0,14
6,LUAD,consensus,cap500_seed1,5,1.0,1.0,103
6,LUAD,cellchatdb,cap500_seed1,5,1.0,1.0,22
6,LUAD,consensus,cap500_seed2,5,1.0,1.0,103
6,LUAD,cellchatdb,cap500_seed2,5,1.0,1.0,22
6,LUAD,consensus,floor30,5,1.0,1.0,103
