"comp","label","case","reference","n_patients","genes_tested","q05_up","q05_down","file_stem"
"AT2","AT2","AAH","normal",8,12249,1,2,"AT2_AT2_AAH_normal"
"AT2","AT2","AIS","normal",12,12679,30,6,"AT2_AT2_AIS_normal"
"AT2","AT2","MIA","normal",4,11422,120,82,"AT2_AT2_MIA_normal"
"AT2","AT2","LUAD","normal",23,13329,2976,2678,"AT2_AT2_LUAD_normal"
"AT2","AT2","LUAD","AAH",8,12844,793,647,"AT2_AT2_LUAD_AAH"
"AT2","AT2","LUAD","AIS",12,13047,41,3,"AT2_AT2_LUAD_AIS"
"AT2","AT2","LUAD","MIA",4,12024,2,0,"AT2_AT2_LUAD_MIA"
"AT2","__broad__","AAH","normal",8,12269,1,2,"AT2___broad___AAH_normal"
"AT2","__broad__","AIS","normal",12,12705,30,6,"AT2___broad___AIS_normal"
"AT2","__broad__","MIA","normal",4,11425,119,83,"AT2___broad___MIA_normal"
"AT2","__broad__","LUAD","normal",23,13388,3057,2835,"AT2___broad___LUAD_normal"
"AT2","__broad__","LUAD","AAH",8,12906,921,804,"AT2___broad___LUAD_AAH"
"AT2","__broad__","LUAD","AIS",12,13105,43,3,"AT2___broad___LUAD_AIS"
"AT2","__broad__","LUAD","MIA",4,12050,2,0,"AT2___broad___LUAD_MIA"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS",3,8722,203,21,"fibroblasts_Adventitial_fibroblasts_LUAD_AIS"
"fibroblasts","Alveolar fibroblasts","AAH","normal",8,12110,0,0,"fibroblasts_Alveolar_fibroblasts_AAH_normal"
"fibroblasts","Alveolar fibroblasts","AIS","normal",11,11920,0,0,"fibroblasts_Alveolar_fibroblasts_AIS_normal"
"fibroblasts","Alveolar fibroblasts","MIA","normal",4,9635,0,0,"fibroblasts_Alveolar_fibroblasts_MIA_normal"
"fibroblasts","Alveolar fibroblasts","LUAD","normal",22,12294,1103,626,"fibroblasts_Alveolar_fibroblasts_LUAD_normal"
"fibroblasts","Alveolar fibroblasts","LUAD","AAH",8,12327,328,29,"fibroblasts_Alveolar_fibroblasts_LUAD_AAH"
"fibroblasts","Alveolar fibroblasts","LUAD","AIS",11,11558,75,25,"fibroblasts_Alveolar_fibroblasts_LUAD_AIS"
"fibroblasts","Alveolar fibroblasts","LUAD","MIA",4,10819,4,0,"fibroblasts_Alveolar_fibroblasts_LUAD_MIA"
"fibroblasts","__broad__","AAH","normal",8,12187,0,0,"fibroblasts___broad___AAH_normal"
"fibroblasts","__broad__","AIS","normal",11,11942,0,0,"fibroblasts___broad___AIS_normal"
"fibroblasts","__broad__","MIA","normal",4,9731,0,0,"fibroblasts___broad___MIA_normal"
"fibroblasts","__broad__","LUAD","normal",22,13153,2145,1903,"fibroblasts___broad___LUAD_normal"
"fibroblasts","__broad__","LUAD","AAH",8,13234,525,178,"fibroblasts___broad___LUAD_AAH"
"fibroblasts","__broad__","LUAD","AIS",11,11964,50,9,"fibroblasts___broad___LUAD_AIS"
"fibroblasts","__broad__","LUAD","MIA",4,11378,160,79,"fibroblasts___broad___LUAD_MIA"
"macrophages","Alveolar macrophages","AAH","normal",3,11273,7,9,"macrophages_Alveolar_macrophages_AAH_normal"
"macrophages","Alveolar macrophages","AIS","normal",5,10743,1,3,"macrophages_Alveolar_macrophages_AIS_normal"
"macrophages","Alveolar macrophages","LUAD","normal",9,11471,103,6,"macrophages_Alveolar_macrophages_LUAD_normal"
"macrophages","Alveolar macrophages","LUAD","AAH",5,11349,17,1,"macrophages_Alveolar_macrophages_LUAD_AAH"
"macrophages","Alveolar macrophages","LUAD","AIS",5,11304,6,1,"macrophages_Alveolar_macrophages_LUAD_AIS"
"macrophages","__broad__","AAH","normal",5,10182,0,0,"macrophages___broad___AAH_normal"
"macrophages","__broad__","AIS","normal",5,11101,2,3,"macrophages___broad___AIS_normal"
"macrophages","__broad__","LUAD","normal",12,11669,430,203,"macrophages___broad___LUAD_normal"
"macrophages","__broad__","LUAD","AAH",8,11295,57,1,"macrophages___broad___LUAD_AAH"
"macrophages","__broad__","LUAD","AIS",7,11805,9,0,"macrophages___broad___LUAD_AIS"
"macrophages","__broad__","LUAD","MIA",3,9390,0,0,"macrophages___broad___LUAD_MIA"
