gene,excluded,adi_detection_consistency,median_log2cpm_difference_vs_AT2,positive_fraction_vs_AT2,median_log2cpm_difference_vs_AT1,positive_fraction_vs_AT1,minimum_median_effect,minimum_positive_fraction,eligible,selected
Plaur,False,0.7777777777777778,4.368675,1.0,7.0309534,1.0,4.368675,1.0,True,True
Edn1,False,0.6666666666666666,3.9580212,1.0,3.8196206,1.0,3.8196206,1.0,True,True
Basp1,False,0.6666666666666666,4.8117485,1.0,3.2276773,1.0,3.2276773,1.0,True,True
Sprr1a,False,0.8888888888888888,4.4918756,1.0,3.183024,1.0,3.183024,1.0,True,True
Nupr1,False,1.0,2.8598757,1.0,2.8116875,1.0,2.8116875,1.0,True,True
Polk,False,0.6666666666666666,2.5945578,1.0,3.1209967,1.0,2.5945578,1.0,True,True
Mdm2,False,1.0,2.5120335,1.0,2.212576,1.0,2.212576,1.0,True,True
Ddit3,False,1.0,2.5185966,1.0,2.1867237,1.0,2.1867237,1.0,True,True
Emp1,False,0.6666666666666666,4.1063967,0.8888888888888888,2.1527867,0.8888888888888888,2.1527867,0.8888888888888888,True,True
Hspb1,False,1.0,3.2347236,1.0,2.1020212,1.0,2.1020212,1.0,True,True
Ppp1r15a,False,1.0,2.7810102,1.0,2.0782018,1.0,2.0782018,1.0,True,True
Cald1,False,1.0,2.525333,1.0,2.0231743,1.0,2.0231743,1.0,True,True
Sema3c,False,0.6666666666666666,3.0212111,1.0,1.9937601,1.0,1.9937601,1.0,True,True
Rap2b,False,0.8888888888888888,3.2241516,1.0,1.952353,1.0,1.952353,1.0,True,True
F3,False,1.0,4.124208,1.0,1.9506197,0.8888888888888888,1.9506197,0.8888888888888888,True,True
Tnip3,False,1.0,4.1647124,1.0,1.9331765,1.0,1.9331765,1.0,True,True
1600029D21Rik,False,0.8888888888888888,1.9288197,1.0,2.2448645,1.0,1.9288197,1.0,True,True
Litaf,False,0.8888888888888888,2.4394588,1.0,1.8570666,0.8888888888888888,1.8570666,0.8888888888888888,True,True
Tuft1,False,0.7777777777777778,2.2114167,1.0,1.8490567,1.0,1.8490567,1.0,True,True
Gcnt2,False,1.0,3.2095346,1.0,1.8224416,1.0,1.8224416,1.0,True,True
Ifrd1,False,0.8888888888888888,2.5164928,1.0,1.8169751,1.0,1.8169751,1.0,True,True
Gsto1,False,1.0,3.1633015,1.0,1.7848358,1.0,1.7848358,1.0,True,True
Fn1,False,0.8888888888888888,2.5945578,1.0,1.7828112,1.0,1.7828112,1.0,True,True
Ddx39,False,0.6666666666666666,2.0809336,1.0,1.7818618,0.7777777777777778,1.7818618,0.7777777777777778,True,True
Perp,False,1.0,2.7591996,1.0,1.7752948,1.0,1.7752948,1.0,True,True
Sqstm1,False,1.0,1.8778086,1.0,1.7371645,1.0,1.7371645,1.0,True,True
Pmepa1,False,0.8888888888888888,1.9824705,1.0,1.7301903,1.0,1.7301903,1.0,True,True
Ier5,False,0.7777777777777778,2.0337768,1.0,1.7060843,0.8888888888888888,1.7060843,0.8888888888888888,True,True
Cast,False,1.0,2.1414704,1.0,1.6789823,1.0,1.6789823,1.0,True,True
Esd,False,1.0,2.2402277,1.0,1.6614976,1.0,1.6614976,1.0,True,True
Atf3,False,0.7777777777777778,3.267593,1.0,1.5922561,1.0,1.5922561,1.0,True,True
Capg,False,0.8888888888888888,1.5835772,1.0,1.970902,1.0,1.5835772,1.0,True,True
Egr1,False,0.8888888888888888,1.7436261,1.0,1.5369067,0.8888888888888888,1.5369067,0.8888888888888888,True,True
Galnt3,False,1.0,2.2920241,1.0,1.5107932,1.0,1.5107932,1.0,True,True
Gnl3,False,0.7777777777777778,1.8770394,1.0,1.5087662,0.8888888888888888,1.5087662,0.8888888888888888,True,True
Cd44,False,1.0,1.8616481,1.0,1.5043688,1.0,1.5043688,1.0,True,True
Tpm2,False,0.8888888888888888,3.2826743,1.0,1.4886537,1.0,1.4886537,1.0,True,True
Anxa8,False,0.8888888888888888,3.974842,1.0,1.4662595,1.0,1.4662595,1.0,True,True
Mt2,False,0.6666666666666666,1.4564013,0.7777777777777778,1.7590232,0.7777777777777778,1.4564013,0.7777777777777778,True,True
AW112010,False,0.8888888888888888,3.427958,1.0,1.4556656,1.0,1.4556656,1.0,True,True
Gadd45a,False,0.8888888888888888,1.4086056,1.0,1.6510091,1.0,1.4086056,1.0,True,True
Ctsl,False,1.0,2.0010853,1.0,1.3973374,1.0,1.3973374,1.0,True,True
Tuba1c,False,0.8888888888888888,1.3908672,1.0,1.6845984,1.0,1.3908672,1.0,True,True
Smim15,False,0.6666666666666666,1.8772855,1.0,1.3877902,1.0,1.3877902,1.0,True,True
Ly6a,False,0.7777777777777778,2.776082,1.0,1.3825741,1.0,1.3825741,1.0,True,True
Rnf11,False,0.8888888888888888,1.3726087,1.0,1.4964952,1.0,1.3726087,1.0,True,True
Cdcp1,False,1.0,1.8410373,1.0,1.3566117,1.0,1.3566117,1.0,True,True
Pno1,False,0.7777777777777778,1.795856,1.0,1.3464274,1.0,1.3464274,1.0,True,True
Marcks,False,0.6666666666666666,2.3646746,1.0,1.3323703,0.8888888888888888,1.3323703,0.8888888888888888,True,True
Gclm,False,0.6666666666666666,1.5762053,1.0,1.3157148,0.8888888888888888,1.3157148,0.8888888888888888,True,True
