dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference,module
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.534987326145395,0.53329112519723,0.0016962009481650275,0.014489321252012155,0.11706559048992536,HALLMARK_HYPOXIA
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.534987326145395,0.536845350719345,-0.0018580245739500123,0.014489321252012155,-0.12823406573941382,HALLMARK_HYPOXIA
development,P14:1,P14,AT2,5,1,4,False,0.5524056583099579,0.5129180180575035,0.03948764025245444,0.010385689450244115,3.802120258037013,HALLMARK_HYPOXIA
development,P14:1,P14,AT1,5,1,4,False,0.5524056583099579,0.5209358290234923,0.03146982928646558,0.010385689450244115,3.030114605027583,HALLMARK_HYPOXIA
development,P14:2,P14,AT2,226,32,34,True,0.5369858494313201,0.5233001104837158,0.013685738947604276,0.017687557065315555,0.7737495289522683,HALLMARK_HYPOXIA
development,P14:2,P14,AT1,226,32,34,True,0.5369858494313201,0.533481728508374,0.0035041209229460524,0.017687557065315555,0.1981122045292204,HALLMARK_HYPOXIA
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.5515297652962834,0.526689420255608,0.024840345040675338,0.01306801342190324,1.9008508974317815,HALLMARK_HYPOXIA
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.5515297652962834,0.5315058406967266,0.02002392459955682,0.01306801342190324,1.5322852795662734,HALLMARK_HYPOXIA
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.5246197060959727,0.5183473583587506,0.006272347737222184,0.012364206898924387,0.5072988335198306,HALLMARK_HYPOXIA
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.5246197060959727,0.5263674462122097,-0.0017477401162369066,0.012364206898924387,-0.14135480993843202,HALLMARK_HYPOXIA
development,P7:1_1,P7,AT2,3500,17,263,False,0.5240912272605396,0.5254127304147466,-0.0013215031542069822,0.01603070692111614,-0.0824357379066208,HALLMARK_HYPOXIA
development,P7:1_1,P7,AT1,3500,17,263,False,0.5240912272605396,0.5389558233099047,-0.014864596049365075,0.01603070692111614,-0.9272576763152579,HALLMARK_HYPOXIA
development,P7:2_1,P7,AT2,76,4,16,False,0.5304501227208975,0.5251271830825089,0.005322939638388591,0.015166809488494134,0.350959748154461,HALLMARK_HYPOXIA
development,P7:2_1,P7,AT1,76,4,16,False,0.5304501227208975,0.5318894566860974,-0.001439333965199907,0.015166809488494134,-0.09490024690372861,HALLMARK_HYPOXIA
development,P7:2_1_1,P7,AT2,87,85,7,False,0.5385052285289992,0.5330712290024342,0.005433999526564981,0.01845654418089651,0.294421288910058,HALLMARK_HYPOXIA
development,P7:2_1_1,P7,AT1,87,85,7,False,0.5385052285289992,0.5522209508365056,-0.013715722307506395,0.01845654418089651,-0.7431359940992033,HALLMARK_HYPOXIA
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.49869554052494075,0.490710651737377,0.00798488878756376,0.013106178354463961,0.6092461564010464,HALLMARK_INFLAMMATORY_RESPONSE
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.49869554052494075,0.498275213952943,0.00042032657199775336,0.013106178354463961,0.032070872273349635,HALLMARK_INFLAMMATORY_RESPONSE
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.5027818416979412,0.49068094855974126,0.012100893138199897,0.010306793290608327,1.1740696448454415,HALLMARK_INFLAMMATORY_RESPONSE
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.5027818416979412,0.5021930366744958,0.0005888050234453823,0.010306793290608327,0.057127857990701,HALLMARK_INFLAMMATORY_RESPONSE
development,P14:1,P14,AT2,5,1,4,False,0.5098594237007824,0.495621779785001,0.014237643915781417,0.01047784121891046,1.3588337156784973,HALLMARK_INFLAMMATORY_RESPONSE
development,P14:1,P14,AT1,5,1,4,False,0.5098594237007824,0.5002639781184404,0.009595445582342044,0.01047784121891046,0.9157845954970318,HALLMARK_INFLAMMATORY_RESPONSE
development,P14:2,P14,AT2,226,32,34,True,0.4910638039882959,0.48925097651357496,0.001812827474720946,0.013421928641830146,0.13506460383578364,HALLMARK_INFLAMMATORY_RESPONSE
development,P14:2,P14,AT1,226,32,34,True,0.4910638039882959,0.4925686698571039,-0.0015048658688079919,0.013421928641830146,-0.11211994259289967,HALLMARK_INFLAMMATORY_RESPONSE
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.5017043286050505,0.49651814265620847,0.00518618594884207,0.010459573112123982,0.49583151178804974,HALLMARK_INFLAMMATORY_RESPONSE
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.5017043286050505,0.49497249851565917,0.006731830089391377,0.010459573112123982,0.6436046688739454,HALLMARK_INFLAMMATORY_RESPONSE
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.49619344461911724,0.49810589281622386,-0.0019124481971066198,0.009743758841419231,-0.196274171829571,HALLMARK_INFLAMMATORY_RESPONSE
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.49619344461911724,0.5018654807087477,-0.005672036089630461,0.009743758841419231,-0.582119917163744,HALLMARK_INFLAMMATORY_RESPONSE
development,P7:1_1,P7,AT2,3500,17,263,False,0.4916110709915924,0.49750337310421905,-0.005892302112626646,0.016925642313242062,-0.34812871521080796,HALLMARK_INFLAMMATORY_RESPONSE
development,P7:1_1,P7,AT1,3500,17,263,False,0.4916110709915924,0.5063541585290848,-0.014743087537492428,0.016925642313242062,-0.8710504017893562,HALLMARK_INFLAMMATORY_RESPONSE
development,P7:2_1,P7,AT2,76,4,16,False,0.5042578398320717,0.5024071891770646,0.0018506506550071133,0.01090944625220603,0.16963745108812356,HALLMARK_INFLAMMATORY_RESPONSE
development,P7:2_1,P7,AT1,76,4,16,False,0.5042578398320717,0.4996018462565995,0.00465599357547225,0.01090944625220603,0.42678550934982135,HALLMARK_INFLAMMATORY_RESPONSE
development,P7:2_1_1,P7,AT2,87,85,7,False,0.49886835517872313,0.4907240260666053,0.00814432911211782,0.014157061303290112,0.5752838769035402,HALLMARK_INFLAMMATORY_RESPONSE
development,P7:2_1_1,P7,AT1,87,85,7,False,0.49886835517872313,0.4871304987868819,0.011737856391841217,0.014157061303290112,0.8291167312465709,HALLMARK_INFLAMMATORY_RESPONSE
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.5460270060494025,0.5490820306671422,-0.0030550246177397655,0.01417683366650647,-0.2154941427405913,HALLMARK_P53_PATHWAY
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.5460270060494025,0.5450460617064322,0.000980944342970247,0.01417683366650647,0.06919347197306691,HALLMARK_P53_PATHWAY
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.539923390035372,0.5393961325162333,0.0005272575191387352,0.014590134629848331,0.036137947490907846,HALLMARK_P53_PATHWAY
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.539923390035372,0.5411369987929814,-0.0012136087576093413,0.014590134629848331,-0.08318009315188596,HALLMARK_P53_PATHWAY
development,P14:1,P14,AT2,5,1,4,False,0.567951794379566,0.5276366448034981,0.040315149576067855,0.013499327797950331,2.9864560798493316,HALLMARK_P53_PATHWAY
development,P14:1,P14,AT1,5,1,4,False,0.567951794379566,0.5341592011944756,0.033792593185090425,0.013499327797950331,2.503279695913549,HALLMARK_P53_PATHWAY
development,P14:2,P14,AT2,226,32,34,True,0.5695618701007839,0.5335061552393505,0.03605571486143333,0.01919836309634222,1.878061930618599,HALLMARK_P53_PATHWAY
development,P14:2,P14,AT1,226,32,34,True,0.5695618701007839,0.5544272132145132,0.015134656886270692,0.01919836309634222,0.7883305889320446,HALLMARK_P53_PATHWAY
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.5571305257825414,0.5380155611788177,0.01911496460372375,0.012478350632175539,1.5318502554685107,HALLMARK_P53_PATHWAY
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.5571305257825414,0.5414233165812006,0.015707209201340833,0.012478350632175539,1.2587568392924986,HALLMARK_P53_PATHWAY
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.5334437918504468,0.5330934680973132,0.00035032375313359676,0.011789678323586567,0.029714445425770016,HALLMARK_P53_PATHWAY
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.5334437918504468,0.5336363367046458,-0.00019254485419906153,0.011789678323586567,-0.016331646115725997,HALLMARK_P53_PATHWAY
development,P7:1_1,P7,AT2,3500,17,263,False,0.5368391253477875,0.5387072057042301,-0.0018680803564425918,0.015398990625947117,-0.1213118704868161,HALLMARK_P53_PATHWAY
development,P7:1_1,P7,AT1,3500,17,263,False,0.5368391253477875,0.5455546681605721,-0.008715542812784527,0.015398990625947117,-0.5659814350493169,HALLMARK_P53_PATHWAY
development,P7:2_1,P7,AT2,76,4,16,False,0.5509845091452035,0.5307409761806533,0.02024353296455017,0.015288622139457583,1.3240913916176085,HALLMARK_P53_PATHWAY
development,P7:2_1,P7,AT1,76,4,16,False,0.5509845091452035,0.5314947941662667,0.019489714978936812,0.015288622139457583,1.2747855759111775,HALLMARK_P53_PATHWAY
development,P7:2_1_1,P7,AT2,87,85,7,False,0.5433906731785659,0.5452687416756613,-0.0018780684970953754,0.017658263414298467,-0.10635635300211019,HALLMARK_P53_PATHWAY
development,P7:2_1_1,P7,AT1,87,85,7,False,0.5433906731785659,0.5487221092244288,-0.005331436045862836,0.017658263414298467,-0.3019230102517216,HALLMARK_P53_PATHWAY
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.5346152440472928,0.5458362273917665,-0.011220983344473745,0.022624671631696982,-0.4959622631054339,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.5346152440472928,0.5372414222428885,-0.002626178195595741,0.022624671631696982,-0.1160758590598277,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.5340606326407543,0.5223093290474122,0.011751303593342088,0.023125062038367186,0.5081631164424684,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.5340606326407543,0.531678032657787,0.002382599982967304,0.023125062038367186,0.10303107420919742,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P14:1,P14,AT2,5,1,4,False,0.5506743051367798,0.501616139466038,0.04905816567074184,0.008462511260445452,5.797116737680949,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P14:1,P14,AT1,5,1,4,False,0.5506743051367798,0.5089283756373006,0.041745929499479195,0.008462511260445452,4.933042712108812,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P14:2,P14,AT2,226,32,34,True,0.5634547516583521,0.5225747768447332,0.040879974813618936,0.030736405498283464,1.3300180730600382,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P14:2,P14,AT1,226,32,34,True,0.5634547516583521,0.5506550369723022,0.012799714686049901,0.030736405498283464,0.41643498901537873,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.5385042623759663,0.5218610979449755,0.016643164430990787,0.018381715344841596,0.905419549740841,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.5385042623759663,0.518807064627549,0.019697197748417272,0.018381715344841596,1.0715647249942228,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.5128658359895683,0.5151753166935601,-0.0023094807039918397,0.015884270461151918,-0.14539419418978827,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.5128658359895683,0.512488000170556,0.00037783581901229546,0.015884270461151918,0.023786790834137875,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P7:1_1,P7,AT2,3500,17,263,False,0.5201267667858767,0.5269164362856047,-0.006789669499728035,0.02806772376938783,-0.24190310391800326,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P7:1_1,P7,AT1,3500,17,263,False,0.5201267667858767,0.541346417411326,-0.021219650625449393,0.02806772376938783,-0.7560160845174302,HALLMARK_TNFA_SIGNALING_VIA_NFKB
