dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference
repair_depth_matched,muc9268,day 11,AT2,42,42,42,True,0.5655915365143048,0.5082012704781009,0.057390266036203896,0.019501692479535974,2.9428351460482802
repair_depth_matched,muc9268,day 11,AT1,42,42,42,True,0.5655915365143048,0.5149199980895066,0.05067153842479821,0.019501692479535974,2.598314914357828
repair_depth_matched,muc9276,day 15,AT2,60,60,60,True,0.587170845870946,0.5139498495486459,0.07322099632230017,0.024235922929288663,3.021176314841881
repair_depth_matched,muc9276,day 15,AT1,60,60,60,True,0.587170845870946,0.5224339685723839,0.06473687729856215,0.024235922929288663,2.6711125252972656
repair_depth_matched,muc9277,day 11,AT2,30,30,30,True,0.5805790705449682,0.5095289200936142,0.07105015045135399,0.023607322613511676,3.009665755602813
repair_depth_matched,muc9277,day 11,AT1,30,30,30,True,0.5805790705449682,0.5167258441992645,0.06385322634570367,0.023607322613511676,2.7048059363223684
repair_depth_matched,muc9280,day 15,AT2,43,43,43,True,0.6129248209745516,0.506480371346598,0.10644444962795363,0.019714196908728776,5.399380462757965
repair_depth_matched,muc9280,day 15,AT1,43,43,43,True,0.6129248209745516,0.519428518112477,0.09349630286207455,0.019714196908728776,4.7425874508069645
repair_depth_matched,muc9283,day 12,AT2,40,40,40,True,0.5714969909729188,0.5085604312938816,0.06293655967903722,0.020301502316289556,3.1000937122046417
repair_depth_matched,muc9283,day 12,AT1,40,40,40,True,0.5714969909729188,0.5140664493480441,0.05743054162487471,0.020301502316289556,2.828881367010632
repair_depth_matched,muc9285,day 10,AT2,59,59,59,True,0.5593347840130561,0.5108464376179386,0.048488346395117565,0.0185889655377072,2.608447807209083
repair_depth_matched,muc9285,day 10,AT1,59,59,59,True,0.5593347840130561,0.5153939785458069,0.04394080546724921,0.0185889655377072,2.3638112286623216
repair_depth_matched,muc9288,day 13,AT2,88,88,88,True,0.562491223671013,0.5036686194948481,0.05882260417616492,0.022065825010439924,2.6657786032624835
repair_depth_matched,muc9288,day 13,AT1,88,88,88,True,0.562491223671013,0.5128047779702745,0.049686445700738546,0.022065825010439924,2.2517375025511432
repair_depth_matched,muc9294,day 12,AT2,62,62,62,True,0.5662458342770246,0.5056731484776912,0.06057268579933339,0.018687313983369203,3.2413799999957256
repair_depth_matched,muc9294,day 12,AT1,62,62,62,True,0.5662458342770246,0.5115997993981946,0.05464603487883002,0.018687313983369203,2.9242316433202933
repair_depth_matched,muc9296,day 13,AT2,57,57,57,True,0.5766568125428919,0.5107277974273697,0.06592901511552218,0.021051189307463632,3.131842773944713
repair_depth_matched,muc9296,day 13,AT1,57,57,57,True,0.5766568125428919,0.5118534551021486,0.06480335744074328,0.021051189307463632,3.078370371110931
