dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse1,Stem,200,0.08063218390804597
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.1149425287356322
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.09173297966401414
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse2,Stem,36,0.08253512132822477
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.07939876215738285
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.09311567620445094
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse3,Stem,227,0.07866221074484785
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.09729064039408866
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.09495252373813094
intestine,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Control-Mouse4,Stem,135,0.07126436781609197
intestine,HALLMARK_E2F_TARGETS,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.12303664921465969
intestine,HALLMARK_E2F_TARGETS,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.0737347294938918
intestine,HALLMARK_E2F_TARGETS,Control-Mouse1,Stem,200,0.16167539267015704
intestine,HALLMARK_E2F_TARGETS,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.1261780104712042
intestine,HALLMARK_E2F_TARGETS,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.06745871929118002
intestine,HALLMARK_E2F_TARGETS,Control-Mouse2,Stem,36,0.18033740546829552
intestine,HALLMARK_E2F_TARGETS,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.09947643979057592
intestine,HALLMARK_E2F_TARGETS,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.06421967249637964
intestine,HALLMARK_E2F_TARGETS,Control-Mouse3,Stem,227,0.1799478746223217
intestine,HALLMARK_E2F_TARGETS,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.10190725504861631
intestine,HALLMARK_E2F_TARGETS,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.0622093590452343
