dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference,training_program_genes,jaccard_with_full_program
repair,muc9268,day 11,AT2,189,93,42,True,0.5959694136171958,0.5122045501584117,0.08376486345878409,0.02100492787119791,3.987867226796956,50,0.639344262295082
repair,muc9268,day 11,AT1,189,93,42,True,0.5959694136171958,0.530589864832593,0.06537954878460284,0.02100492787119791,3.112581446863795,50,0.639344262295082
repair,muc9276,day 15,AT2,269,82,60,True,0.6019956987145022,0.515467291460244,0.08652840725425825,0.023707783030919374,3.649789064688548,50,0.6949152542372882
repair,muc9276,day 15,AT1,269,82,60,True,0.6019956987145022,0.537312959251837,0.06468273946266523,0.023707783030919374,2.7283335341101638,50,0.6949152542372882
repair,muc9277,day 11,AT2,45,98,40,True,0.6009744539741674,0.5169994427727627,0.08397501120140471,0.029664222082831343,2.8308516220961897,50,0.6949152542372882
repair,muc9277,day 11,AT1,45,98,40,True,0.6009744539741674,0.5386005516549648,0.06237390231920259,0.029664222082831343,2.1026643525333677,50,0.6949152542372882
repair,muc9280,day 15,AT2,380,59,50,True,0.6241989062871506,0.5172781879548571,0.10692071833229344,0.020168355403572487,5.301409866733815,50,0.639344262295082
repair,muc9280,day 15,AT1,380,59,50,True,0.6241989062871506,0.5355054108216433,0.08869349546550731,0.020168355403572487,4.397656313107054,50,0.639344262295082
repair,muc9283,day 12,AT2,169,87,40,True,0.5747376361919242,0.5110762353108584,0.06366140088106576,0.01952313263451292,3.2608189511823205,50,0.7241379310344828
repair,muc9283,day 12,AT1,169,87,40,True,0.5747376361919242,0.522056863727455,0.05268077246446923,0.01952313263451292,2.6983770202605886,50,0.7241379310344828
repair,muc9285,day 10,AT2,374,84,66,True,0.5595788556144624,0.5118172163549471,0.047761639259515265,0.01691910407667929,2.82294139471299,50,0.7857142857142857
repair,muc9285,day 10,AT1,374,84,66,True,0.5595788556144624,0.519673870095134,0.03990498551932842,0.01691910407667929,2.3585755686870016,50,0.7857142857142857
repair,muc9288,day 13,AT2,189,116,98,True,0.563652595718189,0.5064443064643667,0.057208289253822375,0.022843399133033827,2.504368501406321,50,0.7543859649122807
repair,muc9288,day 13,AT1,189,116,98,True,0.563652595718189,0.5220939348658219,0.041558660852367146,0.022843399133033827,1.8192853265987543,50,0.7543859649122807
repair,muc9294,day 12,AT2,347,109,62,True,0.5741370815024543,0.5107526580538599,0.0633844234485944,0.017913647724462925,3.5383314679140683,50,0.7241379310344828
repair,muc9294,day 12,AT1,347,109,62,True,0.5741370815024543,0.5225963216756093,0.05154075982684503,0.017913647724462925,2.877178373696655,50,0.7241379310344828
repair,muc9296,day 13,AT2,167,78,70,True,0.5953513103412802,0.5159789548285575,0.0793723555127227,0.022183505192786786,3.5779898092268803,50,0.639344262295082
repair,muc9296,day 13,AT1,167,78,70,True,0.5953513103412802,0.5282967473850123,0.06705456295626788,0.022183505192786786,3.0227217192921985,50,0.639344262295082
