unit,AT2_weight,synthetic_pairs,mixture_mean,intermediate_mean,intermediate_minus_mixture
muc9268,0.25,200,0.5226047642928786,0.5801116251981752,0.05750686090529655
muc9268,0.5,200,0.5224293380140421,0.5801116251981752,0.05768228718413304
muc9268,0.75,200,0.5225161985957874,0.5801116251981752,0.05759542660238781
muc9276,0.25,200,0.5320680541624875,0.5883090735621498,0.056241019399662306
muc9276,0.5,200,0.5316230190571716,0.5883090735621498,0.05668605450497821
muc9276,0.75,200,0.5312930290872617,0.5883090735621498,0.05701604447488806
muc9277,0.25,200,0.5297462888665998,0.5800790125478477,0.05033272368124786
muc9277,0.5,200,0.5293540120361083,0.5800790125478477,0.05072500051173934
muc9277,0.75,200,0.5293381644934805,0.5800790125478477,0.05074084805436718
muc9280,0.25,200,0.5239732196589769,0.6092831035479319,0.085309883888955
muc9280,0.5,200,0.523912888665998,0.6092831035479319,0.08537021488193397
muc9280,0.75,200,0.5236867101303911,0.6092831035479319,0.08559639341754077
muc9283,0.25,200,0.5199705616850552,0.5645395957988909,0.044569034113835726
muc9283,0.5,200,0.5199673520561685,0.5645395957988909,0.044572243742722395
muc9283,0.75,200,0.5201065697091274,0.5645395957988909,0.04443302608976352
muc9285,0.25,200,0.5224518555667,0.5576690786645652,0.035217223097865125
muc9285,0.5,200,0.5224677532597793,0.5576690786645652,0.03520132540478582
muc9285,0.75,200,0.5223626880641926,0.5576690786645652,0.03530639060037255
muc9288,0.25,200,0.5167727683049147,0.5589955210458963,0.04222275274098164
muc9288,0.5,200,0.5164672016048144,0.5589955210458963,0.04252831944108193
muc9288,0.75,200,0.51627407221665,0.5589955210458963,0.04272144882924633
muc9294,0.25,200,0.5177721163490471,0.566582867869664,0.04881075152061698
muc9294,0.5,200,0.5177051153460381,0.566582867869664,0.04887775252362592
muc9294,0.75,200,0.5176491474423269,0.566582867869664,0.048933720427337124
muc9296,0.25,200,0.5164622868605817,0.5800536224056786,0.06359133554509688
muc9296,0.5,200,0.5164037111334001,0.5800536224056786,0.06364991127227848
muc9296,0.75,200,0.5164757271815447,0.5800536224056786,0.06357789522413393
