dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference
repair_low_cycle,muc9268,day 11,AT2,110,37,15,False,0.5691967795277725,0.5062304185283122,0.06296636099946029,0.0185893445803301,3.3872286743281275
repair_low_cycle,muc9268,day 11,AT1,110,37,15,False,0.5691967795277725,0.5193440320962889,0.0498527474314836,0.0185893445803301,2.6817915616150434
repair_low_cycle,muc9276,day 15,AT2,159,22,25,False,0.5771304823561594,0.5083791626451682,0.06875131971099113,0.019820400684533078,3.468714926870347
repair_low_cycle,muc9276,day 15,AT1,159,22,25,False,0.5771304823561594,0.51640962888666,0.0607208534694994,0.019820400684533078,3.0635532770476805
repair_low_cycle,muc9277,day 11,AT2,34,36,22,False,0.5680324306252089,0.5076385037465335,0.0603939268786754,0.022792379506511813,2.649742071090944
repair_low_cycle,muc9277,day 11,AT1,34,36,22,False,0.5680324306252089,0.5164862770128569,0.05154615361235204,0.022792379506511813,2.2615520945334047
repair_low_cycle,muc9280,day 15,AT2,209,16,20,False,0.6143637161484453,0.5059334462718299,0.10843026987661541,0.01742442026998432,6.222891103206442
repair_low_cycle,muc9280,day 15,AT1,209,16,20,False,0.6143637161484453,0.5092838515546639,0.10507986459378138,0.01742442026998432,6.030608936516196
repair_low_cycle,muc9283,day 12,AT2,100,32,16,False,0.5572382773319959,0.507208224674022,0.05003005265797389,0.018653702537583555,2.6820440905591334
repair_low_cycle,muc9283,day 12,AT1,100,32,16,False,0.5572382773319959,0.512914368104313,0.04432390922768292,0.018653702537583555,2.376145386599734
repair_low_cycle,muc9285,day 10,AT2,205,26,31,False,0.5601878713062264,0.5085358025295398,0.0516520687766866,0.014656437685011544,3.5241898397663687
repair_low_cycle,muc9285,day 10,AT1,205,26,31,False,0.5601878713062264,0.5152926521499983,0.04489521915622807,0.014656437685011544,3.063174020938275
repair_low_cycle,muc9288,day 13,AT2,111,41,50,True,0.5572967683538419,0.5033028816178264,0.05399388673601546,0.020834546469291844,2.5915556556797315
repair_low_cycle,muc9288,day 13,AT1,111,41,50,True,0.5572967683538419,0.5179488465396189,0.039347921814222975,0.020834546469291844,1.8885902734776636
repair_low_cycle,muc9294,day 12,AT2,207,26,26,False,0.5543600030861816,0.5052419577573299,0.04911804532885167,0.015097918444083855,3.2532991558249313
repair_low_cycle,muc9294,day 12,AT1,207,26,26,False,0.5543600030861816,0.5094753491242959,0.04488465396188568,0.015097918444083855,2.972903458719755
repair_low_cycle,muc9296,day 13,AT2,96,21,41,False,0.5637636719682858,0.507669153293213,0.05609451867507276,0.017054674537564374,3.2890993347026236
repair_low_cycle,muc9296,day 13,AT1,96,21,41,False,0.5637636719682858,0.5118426009736528,0.051921070994633056,0.017054674537564374,3.04438943588589
