dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference
repair_activated_AT2_comparator,muc9268,day 11,AT2 activated,51,93,42,True,0.5801116251981752,0.5138533246799222,0.06625830051825299,0.020041566415591645,3.306044005956856
repair_activated_AT2_comparator,muc9268,day 11,AT1,51,93,42,True,0.5801116251981752,0.5149199980895066,0.06519162710866855,0.020041566415591645,3.2528209500606557
repair_activated_AT2_comparator,muc9276,day 15,AT2 activated,60,82,60,True,0.5883090735621498,0.5104481778669342,0.07786089569521559,0.02259911525459993,3.4453072528743096
repair_activated_AT2_comparator,muc9276,day 15,AT1,60,82,60,True,0.5883090735621498,0.5224339685723839,0.0658751049897659,0.02259911525459993,2.9149417686321755
repair_activated_AT2_comparator,muc9277,day 11,AT2 activated,10,98,40,False,0.5800790125478477,0.5028094282848545,0.07726958426299313,0.02766306188600182,2.793240480081976
repair_activated_AT2_comparator,muc9277,day 11,AT1,10,98,40,False,0.5800790125478477,0.5208999498495486,0.05917906269829909,0.02766306188600182,2.1392810001356044
repair_activated_AT2_comparator,muc9280,day 15,AT2 activated,38,59,50,True,0.6092831035479319,0.5134772739270442,0.09580582962088768,0.024736213195378314,3.873100092733189
repair_activated_AT2_comparator,muc9280,day 15,AT1,38,59,50,True,0.6092831035479319,0.5175458375125376,0.09173726603539434,0.024736213195378314,3.708622063967917
repair_activated_AT2_comparator,muc9283,day 12,AT2 activated,37,87,40,True,0.5645395957988909,0.5171135026701725,0.04742609312871837,0.02069337616292053,2.2918489837196754
repair_activated_AT2_comparator,muc9283,day 12,AT1,37,87,40,True,0.5645395957988909,0.5140664493480441,0.05047314645084677,0.02069337616292053,2.4390967454255814
repair_activated_AT2_comparator,muc9285,day 10,AT2 activated,29,84,66,False,0.5576690786645652,0.5076342821568152,0.05003479650775,0.018842253307549857,2.6554571627429335
repair_activated_AT2_comparator,muc9285,day 10,AT1,29,84,66,False,0.5576690786645652,0.5144530561381114,0.043216022526453735,0.018842253307549857,2.293569766899249
repair_activated_AT2_comparator,muc9288,day 13,AT2 activated,40,116,98,True,0.5589955210458963,0.5092367101303912,0.04975881091550516,0.025079949317455538,1.9840076343724202
repair_activated_AT2_comparator,muc9288,day 13,AT1,40,116,98,True,0.5589955210458963,0.5135455345628722,0.04544998648302412,0.025079949317455538,1.8122040801490424
repair_activated_AT2_comparator,muc9294,day 12,AT2 activated,58,109,62,True,0.566582867869664,0.5080764707916854,0.05850639707797867,0.018742475783170686,3.1215938467698567
repair_activated_AT2_comparator,muc9294,day 12,AT1,58,109,62,True,0.566582867869664,0.5115997993981946,0.0549830684714695,0.018742475783170686,2.9336075504411268
repair_activated_AT2_comparator,muc9296,day 13,AT2 activated,64,78,70,True,0.5800536224056786,0.5103628071715145,0.0696908152341641,0.019510707168391865,3.5719266673770815
repair_activated_AT2_comparator,muc9296,day 13,AT1,64,78,70,True,0.5800536224056786,0.511720447055452,0.06833317535022654,0.019510707168391865,3.502342316988338
