dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference
repair,muc9268,day 11,AT2,189,93,42,True,0.5801116251981752,0.5070532762308089,0.0730583489673663,0.01821959019432016,4.009878827578776
repair,muc9268,day 11,AT1,189,93,42,True,0.5801116251981752,0.5149199980895066,0.06519162710866855,0.01821959019432016,3.5781061161843044
repair,muc9276,day 15,AT2,269,82,60,True,0.5883090735621498,0.50975685420574,0.07855221935640977,0.02093959991643955,3.7513715481611905
repair,muc9276,day 15,AT1,269,82,60,True,0.5883090735621498,0.5224339685723839,0.0658751049897659,0.02093959991643955,3.145958148801485
repair,muc9277,day 11,AT2,45,98,40,True,0.5800790125478477,0.5075334893569597,0.07254552319088792,0.024567397807656113,2.9529184881062185
repair,muc9277,day 11,AT1,45,98,40,True,0.5800790125478477,0.5208999498495486,0.05917906269829909,0.024567397807656113,2.408845379621634
repair,muc9280,day 15,AT2,380,59,50,True,0.6092831035479319,0.5066123370110331,0.10267076653689877,0.017201494445996883,5.968712012739813
repair,muc9280,day 15,AT1,380,59,50,True,0.6092831035479319,0.5175458375125376,0.09173726603539434,0.017201494445996883,5.333098605089127
repair,muc9283,day 12,AT2,169,87,40,True,0.5645395957988909,0.5076556296107257,0.05688396618816516,0.018258278303948317,3.1155164381443408
repair,muc9283,day 12,AT1,169,87,40,True,0.5645395957988909,0.5140664493480441,0.05047314645084677,0.018258278303948317,2.7643979136812726
repair,muc9285,day 10,AT2,374,84,66,True,0.5576690786645652,0.5095431481610607,0.048125930503504444,0.01564857115986168,3.075420114198454
repair,muc9285,day 10,AT1,374,84,66,True,0.5576690786645652,0.5144530561381114,0.043216022526453735,0.01564857115986168,2.761659328827548
repair,muc9288,day 13,AT2,189,116,98,True,0.5589955210458963,0.5036339706951543,0.055361550350742084,0.020621428454842834,2.6846612722282446
repair,muc9288,day 13,AT1,189,116,98,True,0.5589955210458963,0.5135455345628722,0.04544998648302412,0.020621428454842834,2.2040173687555784
repair,muc9294,day 12,AT2,347,109,62,True,0.566582867869664,0.5058247075520509,0.060758160317613163,0.015909319468827808,3.8190294963062805
repair,muc9294,day 12,AT1,347,109,62,True,0.566582867869664,0.5115997993981946,0.0549830684714695,0.015909319468827808,3.456028938208293
repair,muc9296,day 13,AT2,167,78,70,True,0.5800536224056786,0.5088609541198446,0.07119266828583404,0.018810706623074217,3.7846886729127607
repair,muc9296,day 13,AT1,167,78,70,True,0.5800536224056786,0.511720447055452,0.06833317535022654,0.018810706623074217,3.632674557074077
