gene,excluded,adi_detection_consistency,median_log2cpm_difference_vs_AT2,positive_fraction_vs_AT2,median_log2cpm_difference_vs_AT1,positive_fraction_vs_AT1,minimum_median_effect,minimum_positive_fraction,eligible,selected
0610005C13Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
0610007N19Rik,False,0.0,-0.50674677,0.2222222222222222,-0.45287442,0.2222222222222222,-0.50674677,0.2222222222222222,False,False
0610007P14Rik,False,0.2222222222222222,0.8803773,0.8888888888888888,0.5144758,0.5555555555555556,0.5144758,0.5555555555555556,False,False
0610008F07Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
0610009B14Rik,False,0.0,-1.923449,0.1111111111111111,0.0,0.1111111111111111,-1.923449,0.1111111111111111,False,False
0610009B22Rik,False,0.1111111111111111,0.5630088,0.7777777777777778,-0.09968853,0.4444444444444444,-0.09968853,0.4444444444444444,False,False
0610009D07Rik,False,0.1111111111111111,0.6510992,0.7777777777777778,-0.09474611,0.4444444444444444,-0.09474611,0.4444444444444444,False,False
0610009E02Rik,False,0.0,1.2352009,0.6666666666666666,-0.45010424,0.3333333333333333,-0.45010424,0.3333333333333333,False,False
0610009L18Rik,False,0.0,-1.9478929,0.3333333333333333,0.0,0.3333333333333333,-1.9478929,0.3333333333333333,False,False
0610009O20Rik,False,0.0,-1.5077152,0.3333333333333333,0.0,0.3333333333333333,-1.5077152,0.3333333333333333,False,False
0610010F05Rik,False,0.1111111111111111,0.70163584,0.6666666666666666,0.9445877,0.6666666666666666,0.70163584,0.6666666666666666,False,False
0610010K14Rik,False,0.0,0.44418144,0.5555555555555556,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
0610011F06Rik,False,0.8888888888888888,0.2264862,0.6666666666666666,0.25133276,0.6666666666666666,0.2264862,0.6666666666666666,False,False
0610025J13Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
0610030E20Rik,False,0.0,0.076939106,0.5555555555555556,-0.38016748,0.2222222222222222,-0.38016748,0.2222222222222222,False,False
0610031J06Rik,False,1.0,0.7171254,1.0,0.573576,0.7777777777777778,0.573576,0.7777777777777778,True,False
0610037L13Rik,False,0.0,0.09068298,0.6666666666666666,-0.46476555,0.3333333333333333,-0.46476555,0.3333333333333333,False,False
0610039K10Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
0610040B09Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
0610040B10Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
0610040J01Rik,False,0.0,0.094836235,0.6666666666666666,0.40188932,0.6666666666666666,0.094836235,0.6666666666666666,False,False
0610043K17Rik,False,0.0,3.223864,0.5555555555555556,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1010001N08Rik,False,0.0,0.44418144,0.5555555555555556,-0.45114422,0.2222222222222222,-0.45114422,0.2222222222222222,False,False
1100001G20Rik,False,0.0,-1.5322108,0.2222222222222222,0.0,0.2222222222222222,-1.5322108,0.2222222222222222,False,False
1110001A16Rik,False,0.1111111111111111,0.10076046,0.5555555555555556,-0.10914135,0.3333333333333333,-0.10914135,0.3333333333333333,False,False
1110001J03Rik,False,0.0,-0.540998,0.2222222222222222,-0.15845299,0.4444444444444444,-0.540998,0.2222222222222222,False,False
1110002J07Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1110002L01Rik,False,0.1111111111111111,1.7789106,0.8888888888888888,1.0546541,0.7777777777777778,1.0546541,0.7777777777777778,False,False
1110004E09Rik,False,1.0,0.73578644,1.0,0.3667512,0.7777777777777778,0.3667512,0.7777777777777778,True,False
1110004F10Rik,False,1.0,1.6139016,1.0,0.5542116,1.0,0.5542116,1.0,True,False
1110006G14Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1110007C09Rik,False,0.3333333333333333,2.0089698,1.0,0.57913065,1.0,0.57913065,1.0,False,False
1110008F13Rik,False,0.8888888888888888,-0.3636527,0.3333333333333333,-0.21014023,0.3333333333333333,-0.3636527,0.3333333333333333,False,False
1110008J03Rik,False,0.0,2.6848545,0.6666666666666666,3.671073,0.6666666666666666,2.6848545,0.6666666666666666,False,False
