dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
development,HALLMARK_HYPOXIA,P7:2_1_1,Transitional,85,0.19878516624040923
development,HALLMARK_INFLAMMATORY_RESPONSE,P0:1_1_1_1_1,AT1,166,0.11956687509531798
development,HALLMARK_INFLAMMATORY_RESPONSE,P0:1_1_1_1_1,AT2,436,0.10672395772848682
development,HALLMARK_INFLAMMATORY_RESPONSE,P0:1_1_1_1_1,Transitional,27,0.10103141115799343
development,HALLMARK_INFLAMMATORY_RESPONSE,P0:2_1_1_1_1,AT1,159,0.1179444311758618
development,HALLMARK_INFLAMMATORY_RESPONSE,P0:2_1_1_1_1,AT2,208,0.08398247322297955
development,HALLMARK_INFLAMMATORY_RESPONSE,P0:2_1_1_1_1,Transitional,9,0.07876230661040788
development,HALLMARK_INFLAMMATORY_RESPONSE,P14:1,AT1,4,0.1439873417721519
development,HALLMARK_INFLAMMATORY_RESPONSE,P14:1,AT2,5,0.0670886075949367
development,HALLMARK_INFLAMMATORY_RESPONSE,P14:1,Transitional,1,0.13291139240506328
development,HALLMARK_INFLAMMATORY_RESPONSE,P14:2,AT1,34,0.14035740878629935
development,HALLMARK_INFLAMMATORY_RESPONSE,P14:2,AT2,226,0.10737089727792092
development,HALLMARK_INFLAMMATORY_RESPONSE,P14:2,Transitional,32,0.1337025316455696
development,HALLMARK_INFLAMMATORY_RESPONSE,P3:1_1_1_1,AT1,419,0.11847074106522462
development,HALLMARK_INFLAMMATORY_RESPONSE,P3:1_1_1_1,AT2,1203,0.08163662573523996
development,HALLMARK_INFLAMMATORY_RESPONSE,P3:1_1_1_1,Transitional,8,0.12104430379746836
development,HALLMARK_INFLAMMATORY_RESPONSE,P5:1_1_1,AT1,78,0.09079844206426485
development,HALLMARK_INFLAMMATORY_RESPONSE,P5:1_1_1,AT2,377,0.06466776348923883
development,HALLMARK_INFLAMMATORY_RESPONSE,P5:2_1_1_1,AT1,180,0.10527426160337552
development,HALLMARK_INFLAMMATORY_RESPONSE,P5:2_1_1_1,AT2,664,0.07820840323318591
development,HALLMARK_INFLAMMATORY_RESPONSE,P5:2_1_1_1,Transitional,7,0.06329113924050632
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:1_1,AT1,263,0.16785387688309186
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:1_1,AT2,3500,0.11609945750452079
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:1_1,Transitional,17,0.10871183916604615
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:2_1,AT1,16,0.10087025316455697
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:2_1,AT2,76,0.09085609593604263
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:2_1,Transitional,4,0.0981012658227848
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:2_1_1,AT1,7,0.12386980108499095
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:2_1_1,AT2,87,0.12389058635239349
development,HALLMARK_INFLAMMATORY_RESPONSE,P7:2_1_1,Transitional,85,0.12345495160089355
development,HALLMARK_P53_PATHWAY,P0:1_1_1_1_1,AT1,166,0.2066899175649968
