random_set,endpoint,median_difference
0,AT1,-0.0005997167495164213
0,AT2,0.01337378118585697
1,AT1,0.0023372931541401076
1,AT2,0.014993137958701053
2,AT1,0.003422634408602132
2,AT2,0.012751059113300434
3,AT1,0.002585394394565843
3,AT2,0.010474013347940181
4,AT1,0.0011433930655767588
4,AT2,0.015039583149117908
5,AT1,0.0023492416023580542
5,AT2,0.016706860639950083
6,AT1,0.002954982531753081
6,AT2,0.010751142910348621
7,AT1,0.008424602812767357
7,AT2,0.021976193763852514
8,AT1,0.002598185420856547
8,AT2,0.017606398887134
9,AT1,0.00047951546445523796
9,AT2,0.006456528612218682
10,AT1,-0.0007639540164073866
10,AT2,0.002858850499573129
11,AT1,0.00800660639928441
11,AT2,0.019748563149766696
12,AT1,0.003444449908208802
12,AT2,0.015819147994333815
13,AT1,-0.00040644380012200276
13,AT2,0.006897527330772202
14,AT1,-0.0006007289267064841
14,AT2,0.00426994464608943
15,AT1,-0.0005445522435201244
15,AT2,0.012971870039200972
16,AT1,-0.0041032023396386785
16,AT2,0.01213435746728142
17,AT1,0.002291758376639419
17,AT2,0.018302468380752224
18,AT1,0.002158998455480954
18,AT2,0.013086868031915833
19,AT1,0.0005862737415893715
19,AT2,0.010346674546090617
20,AT1,0.005121778457955584
20,AT2,0.016121638323091103
21,AT1,-0.0005470517242784911
21,AT2,0.009229376785407584
22,AT1,-0.0006579565013299371
22,AT2,0.01732653046614785
23,AT1,-0.0026766513056835084
23,AT2,0.006362617708535301
24,AT1,0.0033696651453436477
24,AT2,0.015729275848092694
25,AT1,-0.0007435180186811108
25,AT2,0.011724724520531749
26,AT1,0.0035577420567360907
26,AT2,0.013023507979797344
27,AT1,-0.0008451347647328022
27,AT2,0.013468628343972666
28,AT1,0.0020935854714037028
28,AT2,0.017626881384443682
29,AT1,0.0003434900103237437
29,AT2,0.012115933477085505
30,AT1,0.007037044730646813
30,AT2,0.022811246693550058
31,AT1,0.003577207792207715
31,AT2,0.014445809523809361
32,AT1,0.010613076802956534
32,AT2,0.022172761971490318
33,AT1,0.004716177032152102
33,AT2,0.007160179294216085
34,AT1,0.008454499045896902
34,AT2,0.018196568450536743
35,AT1,-0.0003746846600407583
35,AT2,0.01089410181208561
36,AT1,0.0035962608742635682
36,AT2,0.010466940105101075
37,AT1,-0.0006239720787913905
37,AT2,0.0117145920882461
38,AT1,0.005058452800851487
38,AT2,0.019668626527682975
39,AT1,0.0002861198538142151
39,AT2,0.014603816570037842
40,AT1,-0.0015170837716400598
40,AT2,0.006840869476415268
41,AT1,0.0025573077430743885
41,AT2,0.012299875593785425
42,AT1,-0.0015418668433744287
42,AT2,0.010554748200989561
43,AT1,-0.0019929905908390166
43,AT2,0.01065429989041966
44,AT1,-0.0005627496669128318
44,AT2,0.015400504912022717
45,AT1,-0.0009359572971787689
45,AT2,0.000143828310327776
46,AT1,0.004979691334822012
46,AT2,0.015889367953754396
47,AT1,-0.0032666562143421896
47,AT2,0.011272668252722218
48,AT1,0.001633936291633331
48,AT2,0.016344861968070834
49,AT1,0.0014765828099161382
49,AT2,0.01829515758657474
50,AT1,0.004245888655302843
50,AT2,0.012559916970312224
51,AT1,0.0022964086535515182
51,AT2,0.012548907598322834
52,AT1,-0.0058942805855458635
52,AT2,0.009075165017673359
53,AT1,0.0013923329309963872
53,AT2,0.004053044031508857
54,AT1,-0.01088738863287253
54,AT2,-0.011548589173995927
55,AT1,-0.002196668430862414
55,AT2,0.006692249093059099
56,AT1,0.004494751901378269
56,AT2,0.015413525830179298
57,AT1,0.003119111914497985
57,AT2,0.02195220809821763
58,AT1,-0.004689261175412129
58,AT2,0.003976319986912391
59,AT1,0.0055733646587917685
59,AT2,0.01907097671684077
60,AT1,0.005062036395369951
60,AT2,0.014896080827453417
61,AT1,0.0062089872385463485
61,AT2,0.013561531895053158
62,AT1,0.007439502661236386
62,AT2,0.016541552819834604
63,AT1,0.0048577754240404225
63,AT2,0.01576644494059032
64,AT1,0.006588089599111613
64,AT2,0.01711993538194323
65,AT1,-0.0025136726314972657
65,AT2,0.01133283978174271
66,AT1,0.0010194146380988478
66,AT2,0.016093824204144846
67,AT1,-0.005966683366733561
67,AT2,0.0042450664876551025
68,AT1,0.00274466637556936
68,AT2,0.010997840765854527
69,AT1,-0.0076007669706507075
69,AT2,0.0010321916305383594
70,AT1,0.004707925403611313
70,AT2,0.005394639783624311
71,AT1,0.0026532749406859013
71,AT2,0.010569288431787616
72,AT1,0.005222929004152332
72,AT2,0.01802841372973374
73,AT1,0.007663245905730975
73,AT2,0.0160293625930934
74,AT1,0.004277798066317784
74,AT2,0.013094178517005006
75,AT1,-0.0022543344958743106
75,AT2,0.004699867391379398
76,AT1,0.002336832074058992
76,AT2,0.01391812601881448
77,AT1,-0.0006585123335375309
77,AT2,0.01029160937208684
78,AT1,0.003734154386830335
78,AT2,0.01249127628116753
79,AT1,-0.0016374198579103272
79,AT2,0.006106362157261791
80,AT1,0.001506903070857879
80,AT2,0.008275837745104764
81,AT1,-0.006353082436058699
81,AT2,0.007677548884374441
82,AT1,-0.0011966917642440844
82,AT2,0.022555794367228765
83,AT1,0.008192945245708794
83,AT2,0.01583127951957375
84,AT1,0.0026797945772819576
84,AT2,0.0140130015155141
85,AT1,0.0015673403756697457
85,AT2,0.012667724318299323
86,AT1,0.002253711979241735
86,AT2,0.01429883986827496
