feature_index,name_0,gene
300,March4,March4
301,Smarcal1,Smarcal1
302,Rpl37a,Rpl37a
303,Igfbp2,Igfbp2
304,Igfbp5,Igfbp5
305,Pinc,Pinc
306,C530043A13Rik,C530043A13Rik
307,Gm29186,Gm29186
308,6030407O03Rik,6030407O03Rik
309,Tns1,Tns1
310,Arpc2,Arpc2
311,Aamp,Aamp
312,Pnkd,Pnkd
313,Tmbim1,Tmbim1
314,Catip,Catip
315,Slc11a1,Slc11a1
316,Ctdsp1,Ctdsp1
317,Vil1,Vil1
318,Usp37,Usp37
319,Cnot9,Cnot9
320,Plcd4,Plcd4
321,Zfp142,Zfp142
322,Bcs1l,Bcs1l
323,Rnf25,Rnf25
324,Stk36,Stk36
325,Ttll4,Ttll4
326,Cyp27a1,Cyp27a1
327,Prkag3,Prkag3
328,Wnt6,Wnt6
329,Wnt10a,Wnt10a
330,Cdk5r2,Cdk5r2
331,Cryba2,Cryba2
332,Cfap65,Cfap65
333,Ihh,Ihh
334,Nhej1,Nhej1
335,Slc23a3,Slc23a3
336,Cnppd1,Cnppd1
337,Retreg2,Retreg2
338,Zfand2b,Zfand2b
339,Abcb6,Abcb6
340,Atg9a,Atg9a
341,Ankzf1,Ankzf1
342,Glb1l,Glb1l
343,Stk16,Stk16
344,Tuba4a,Tuba4a
345,Dnajb2,Dnajb2
346,Ptprn,Ptprn
347,Gm28294,Gm28294
348,Resp18,Resp18
349,Dnpep,Dnpep
350,Des,Des
351,Speg,Speg
352,Gmppa,Gmppa
353,Asic4,Asic4
354,Chpf,Chpf
355,Obsl1,Obsl1
356,Tmem198,Tmem198
357,Inha,Inha
358,Stk11ip,Stk11ip
359,Slc4a3,Slc4a3
360,Gm29065,Gm29065
361,Epha4,Epha4
362,Gm28386,Gm28386
363,Sgpp2,Sgpp2
364,Farsb,Farsb
365,BC035947,BC035947
366,Mogat1,Mogat1
367,5730419F03Rik,5730419F03Rik
368,Acsl3,Acsl3
369,Utp14b,Utp14b
370,Kcne4,Kcne4
371,Scg2,Scg2
372,Ap1s3,Ap1s3
373,Wdfy1,Wdfy1
374,Mrpl44,Mrpl44
375,Serpine2,Serpine2
376,Fam124b,Fam124b
377,2310015K22Rik,2310015K22Rik
378,Cul3,Cul3
379,Dock10,Dock10
380,Nyap2,Nyap2
381,Irs1,Irs1
382,Gm9747,Gm9747
