module,requested_genes,present_genes,feature_coverage,reference_coverage,reference_genes_used
DATP_marker_panel,5,5,1.0,1.0,1000
AT1_early_panel,3,3,1.0,1.0,1000
AT1_late_panel,4,4,1.0,1.0,1000
DATP_figure7_panel,3,3,1.0,1.0,1000
DATP_label_free_panel,3,3,1.0,1.0,1000
AT2_common_panel,8,8,1.0,1.0,1000
DATP_PATS_holdout_panel,6,6,1.0,1.0,1000
ADI_published_400,400,400,1.0,1.0,985
ADI_published_holdout,398,398,1.0,1.0,985
AT2_published_400,400,400,1.0,1.0,973
AT2_published_holdout,398,398,1.0,1.0,973
AT1_published_400,400,400,1.0,1.0,974
AT1_published_holdout,399,399,1.0,1.0,974
HALLMARK_HYPOXIA,199,188,0.9447236180904522,1.0,992
HALLMARK_INFLAMMATORY_RESPONSE,197,194,0.9847715736040609,1.0,995
HALLMARK_P53_PATHWAY,200,192,0.96,1.0,987
HALLMARK_E2F_TARGETS,199,190,0.9547738693467337,1.0,988
HALLMARK_G2M_CHECKPOINT,195,181,0.9282051282051282,1.0,988
HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,190,0.9693877551020408,1.0,986
Immediate_early_AP1_panel,8,8,1.0,1.0,999
candidate_without_generic_controls,31,31,1.0,1.0,999
