day,enrichment_uncorrected,observed_same_round_fraction_uncorrected,enrichment_Harmony on infection round,observed_same_round_fraction_Harmony on infection round,expected_if_mixed,n_cells
6,1.105,0.7021,1.094,0.6951,0.6352,775
11,1.459,0.8795,1.286,0.7749,0.6026,925
19,1.286,0.7407,1.174,0.6762,0.576,944
25,1.425,0.8011,1.26,0.7083,0.5623,646
42,1.215,0.7658,1.053,0.6639,0.6304,3429
