patient,histology,broad,cells,median_library_size,median_detected_genes,median_mito_percent,median_uncertainty
4,AAH,Other assigned,1480,1444.0,1094.5,0.5867137281804172,0.05999290365368485
4,AAH,Other epithelial,966,2345.0,1609.0,0.360876501826877,1.1102230246251563e-16
4,AAH,Other myeloid,366,1598.5,1188.0,0.9500186022537307,1.1102230246251563e-16
4,AAH,Unassigned,6224,1858.5,1337.0,0.6566130346618151,0.4199946492195532
4,LUAD,AT2-like,5096,3627.5,2063.0,0.8449320678491381,2.220446049250313e-16
4,LUAD,Fibroblasts,2912,2071.0,1457.5,0.44284531485468404,4.440892098500626e-16
4,LUAD,Macrophages,1151,8811.0,3625.0,0.9136011616650532,0.0799818188068538
4,LUAD,Other assigned,4888,1632.0,1192.0,0.7554620780541461,0.0400005729124678
4,LUAD,Other epithelial,2377,2596.0,1761.0,0.4549590536851683,1.1102230246251563e-16
4,LUAD,Other myeloid,607,1842.0,1323.0,1.0996892182644036,1.1102230246251563e-16
4,LUAD,Unassigned,14889,2295.0,1583.0,0.9895547003848268,0.4203134598159613
4,normal,AT2-like,7050,3232.0,1922.0,0.7236992626283509,1.1102230246251563e-16
4,normal,Fibroblasts,3886,1887.0,1356.5,0.3394145710660958,0.01999040135092965
4,normal,Macrophages,2026,8238.5,3490.5,0.9445836549520328,0.07997506599830409
4,normal,Other assigned,5103,1494.0,1124.0,0.6622516556291391,0.0599989114594967
4,normal,Other epithelial,2797,2310.0,1620.0,0.3966679888932963,1.1102230246251563e-16
4,normal,Other myeloid,888,1655.5,1202.5,1.0321384125938806,2.220446049250313e-16
4,normal,Unassigned,16493,1883.0,1366.0,0.7395234182415776,0.4000336185624574
5,AIS,AT2-like,224,3215.0,1848.5,0.4079232099302298,1.1102230246251563e-16
5,AIS,Fibroblasts,234,1401.0,1059.0,0.19943560089545492,2.220446049250313e-16
5,AIS,Macrophages,45,4921.0,2472.0,0.6444960041247745,0.0800027831336392
5,AIS,Other assigned,204,1199.0,928.0,0.410182209734677,0.039998540933664
5,AIS,Other epithelial,406,1992.0,1433.5,0.23866382434570366,1.1102230246251563e-16
5,AIS,Other myeloid,30,1777.5,1281.0,1.1853423953780204,0.0199763029352465
5,AIS,Unassigned,713,1949.0,1381.0,0.501432664756447,0.4599566343413774
5,LUAD,AT2-like,1096,2873.5,1865.5,0.42855726875457323,0.0999798763193612
5,LUAD,Fibroblasts,574,2350.0,1363.5,0.4554480912251394,0.12000136910737036
5,LUAD,Macrophages,340,2761.5,1576.0,1.0498520052919884,0.1199818320479481
5,LUAD,Other assigned,4681,1477.0,1096.0,0.99644128113879,0.02000035103173
5,LUAD,Other epithelial,162,2435.5,1673.0,0.4653605749497767,0.02999036694390365
5,LUAD,Other myeloid,208,2107.0,1400.0,1.1118992160469103,2.220446049250313e-16
5,LUAD,Unassigned,8126,2525.0,1632.0,0.7908311665741654,0.4397713552945497
5,normal,AT2-like,1727,2948.0,1751.0,0.471039776692254,1.1102230246251563e-16
5,normal,Fibroblasts,2919,1916.0,1335.0,0.2025111381125962,5.551115123125784e-16
5,normal,Macrophages,469,7924.0,3522.0,0.8074981975486661,0.0799929061921502
5,normal,Other assigned,1646,1444.5,1091.0,0.29966288393254686,0.05996548837162455
5,normal,Other epithelial,2055,2720.0,1752.0,0.2274450341167551,1.1102230246251563e-16
5,normal,Other myeloid,256,1401.0,1023.0,0.483897578230401,3.3306690738754696e-16
5,normal,Unassigned,6293,1802.0,1281.0,0.3471361269526407,0.4400302008504709
6,AAH,AT2-like,414,2323.0,1448.0,0.29001277380896057,0.0
6,AAH,Fibroblasts,282,1442.5,1090.5,0.1953457903506875,2.220446049250313e-16
6,AAH,Macrophages,86,7636.5,3298.0,0.6466763679037075,0.019991002569842452
6,AAH,Other assigned,301,1332.0,990.0,0.4432132963988919,0.0200096706394168
6,AAH,Other epithelial,461,2033.0,1424.0,0.2348336594911937,2.220446049250313e-16
6,AAH,Other myeloid,34,1585.5,1114.0,0.7787417646048238,0.0299883381958104
6,AAH,Unassigned,658,1700.0,1223.5,0.5234688695410719,0.39998221088956043
6,LUAD,AT2-like,477,3255.0,1826.0,0.91324200913242,1.1102230246251563e-16
6,LUAD,Fibroblasts,346,1701.0,1171.0,0.33603627618975795,0.0199996395437608
6,LUAD,Macrophages,259,5994.0,2766.0,0.9659806803863924,0.0599775293952413
6,LUAD,Other assigned,1199,1438.0,1038.0,0.7078682276068609,0.0199927439376359
6,LUAD,Other epithelial,365,2311.0,1560.0,0.35056967572305,1.1102230246251563e-16
6,LUAD,Other myeloid,78,1843.0,1283.0,0.95888185533737,2.220446049250313e-16
6,LUAD,Unassigned,2111,2096.0,1415.0,0.9362200117027502,0.4199971370040861
6,normal,AT2-like,142,2485.0,1406.5,0.811570364867972,0.0
6,normal,Fibroblasts,136,1770.5,1209.0,0.18763377267094733,2.220446049250313e-16
