config,cell_floor,prior_count,view,resource,family,ligand,receptor,source,source_label,target,target_label,case,reference,biological_role,patient,case_score,reference_score,paired_difference,ligand_difference,receptor_difference
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,4,5.768392955987825,5.325053092990039,0.443339862997786,0.6904046804734705,0.1962750455221007
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,5,5.150103858669921,5.820641771397446,-0.670537912727525,-1.41207313479042,0.0709973093353699
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,6,5.440771312935545,5.056761167246765,0.3840101456887801,1.1862857570680705,-0.41826546569051
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,7,5.240230804050235,4.762127203981279,0.4781036000689553,0.2207831676825904,0.7354240324553203
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,14,5.346836612962305,5.694336024044995,-0.3474994110826905,0.0421440272689901,-0.7371428494343704
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,17,5.89254701975729,4.49887430018253,1.3936727195747594,2.48645255533954,0.30089288380998
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,18,6.713072661783221,5.454668024306085,1.2584046374771356,0.8513870744317105,1.6654222005225598
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,19,5.423523277999075,5.49460251595691,-0.0710792379578348,-0.2033910768838103,0.0612326009681396
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,21,4.9669662040553,5.75438453266986,-0.7874183286145602,-0.4774955975901793,-1.09734105963894
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,22,5.7361924915065945,5.27610911135002,0.4600833801565747,0.36556873107165,0.5545980292415003
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,24,5.77272808853221,7.410761082623065,-1.638032994090855,-1.96863713919766,-1.30742884898405
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,25,6.66063398897534,6.601845804804265,0.0587881841710746,1.2403764954532797,-1.1228001271111294
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,4,5.645787192253746,5.04877539211184,0.5970118001419058,0.6904046804734705,0.5036189198103402
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,5,5.35382543841399,5.94203669016092,-0.5882112517469302,-1.41207313479042,0.2356506312965596
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,6,5.42047934373633,4.404235665063935,1.0162436786723958,1.1862857570680705,0.8462016002767196
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,7,4.88458451262655,4.679082021386895,0.2055024912396552,0.2207831676825904,0.19022181479672
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,14,5.379689422799105,5.569684886825855,-0.18999546402675,0.0421440272689901,-0.4221349553224902
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,17,5.777999116223375,4.028927420311311,1.749071695912065,2.48645255533954,1.0116908364845898
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,18,6.159786576300935,5.213468141939275,0.9463184343616592,0.8513870744317105,1.04124979429161
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,19,5.32897915666414,5.33835587627532,-0.00937671961118,-0.2033910768838103,0.1846376376614502
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,21,5.342815486244545,5.055603518424975,0.2872119678195703,-0.4774955975901793,1.0519195332293203
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,22,5.149359695712815,4.859380153752145,0.2899795419606699,0.36556873107165,0.2143903528496906
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,24,5.139695924078556,6.343935966827145,-1.204240042748589,-1.96863713919766,-0.4398429462995192
unc20_pooled,50,1.0,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,LUAD,normal,canonical_signaling_complex_RNA_compatibility_only,25,5.827434655837145,5.416808834065925,0.4106258217712195,1.2403764954532797,-0.4191248519108406
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,4,6.771260754678835,6.64485974765309,0.1264010070257448,0.2876776351131207,-0.0348756210616301
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,5,7.150489573278644,6.989407394231315,0.1610821790473293,-0.1171742594202402,0.4393386175148999
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,6,6.638284959077126,6.8729150261900696,-0.2346300671129437,0.0854207878788306,-0.55468092210472
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,7,6.9348116932916,6.568637170902745,0.3661745223888548,0.31195563803767,0.4203934067400405
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,14,6.59143753744876,6.362745270557025,0.228692266891735,-0.21612091427916,0.6735054480626301
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,17,6.96414306158562,7.044551156259445,-0.0804080946738245,-0.7569420242693505,0.5961258349216996
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,18,7.62969005842044,7.53017496134918,0.0995150970712597,-0.3268490069301393,0.5258792010726596
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,19,6.66242469828714,6.87330843408242,-0.2108837357952797,-0.3417132543736798,-0.0800542172168805
unc20_pooled,50,1.0,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,LUAD,normal,resource_RNA_compatibility_only,21,6.520131744438035,6.4226731380431605,0.0974586063948743,-0.1858999541508605,0.3808171669406102
