comp,gene,patient,difference
macrophages,IL1B,4,0.6904046804734705
macrophages,IL1B,5,-1.41207313479042
macrophages,IL1B,6,1.1862857570680703
macrophages,IL1B,7,0.22078316768259043
macrophages,IL1B,14,0.042144027268990136
macrophages,IL1B,17,2.4864525553395396
macrophages,IL1B,18,0.8513870744317105
macrophages,IL1B,19,-0.2033910768838103
macrophages,IL1B,21,-0.47749559759017934
macrophages,IL1B,22,0.36556873107165
macrophages,IL1B,24,-1.9686371391976598
macrophages,IL1B,25,1.2403764954532797
fibroblasts,IL1R1,3,0.6549579608592104
fibroblasts,IL1R1,4,-0.1672234444672398
fibroblasts,IL1R1,5,0.2014158849676999
fibroblasts,IL1R1,6,0.49552990018623966
fibroblasts,IL1R1,7,-0.1836323289222488
fibroblasts,IL1R1,9,2.0041467334069996
fibroblasts,IL1R1,10,-1.4985978136014406
fibroblasts,IL1R1,11,1.1067779694842308
fibroblasts,IL1R1,12,0.3727741353851206
fibroblasts,IL1R1,13,0.3285386170975304
fibroblasts,IL1R1,14,0.16089436771687016
fibroblasts,IL1R1,15,0.41428253739760024
fibroblasts,IL1R1,16,0.6381333750984908
fibroblasts,IL1R1,17,1.2123061761817402
fibroblasts,IL1R1,18,1.9353725765253493
fibroblasts,IL1R1,19,-0.05279911907817958
fibroblasts,IL1R1,20,0.1031012204845494
fibroblasts,IL1R1,21,-1.2073732771661199
fibroblasts,IL1R1,22,-0.0075727382721302305
fibroblasts,IL1R1,23,-0.06182470268931972
fibroblasts,IL1R1,24,-0.7436716414290903
fibroblasts,IL1R1,25,-1.86120390848526
fibroblasts,IL1RAP,3,0.5086589125139103
fibroblasts,IL1RAP,4,0.19627504552210073
fibroblasts,IL1RAP,5,0.07099730933536996
fibroblasts,IL1RAP,6,-0.41826546569051004
fibroblasts,IL1RAP,7,0.7354240324553203
fibroblasts,IL1RAP,9,0.5925151645937996
fibroblasts,IL1RAP,10,-1.3656405189015501
fibroblasts,IL1RAP,11,0.23764954450115994
fibroblasts,IL1RAP,12,-0.23789417563870963
fibroblasts,IL1RAP,13,0.1020290010178897
fibroblasts,IL1RAP,14,-0.7371428494343704
fibroblasts,IL1RAP,15,0.3119065014161295
fibroblasts,IL1RAP,16,0.7555479896550494
fibroblasts,IL1RAP,17,0.30089288380998
fibroblasts,IL1RAP,18,1.6654222005225598
fibroblasts,IL1RAP,19,0.06123260096813965
fibroblasts,IL1RAP,20,-1.18418561732976
fibroblasts,IL1RAP,21,-1.0973410596389401
fibroblasts,IL1RAP,22,0.5545980292415003
fibroblasts,IL1RAP,23,-0.1415094433490598
fibroblasts,IL1RAP,24,-1.30742884898405
fibroblasts,IL1RAP,25,-1.1228001271111294
AT2,IL1R1,3,-0.5680954263448896
AT2,IL1R1,4,-0.4617384795314603
AT2,IL1R1,5,-2.2179806237253397
AT2,IL1R1,6,-0.5461716848597504
AT2,IL1R1,7,-0.46551198785655057
AT2,IL1R1,8,-0.20922633328244977
AT2,IL1R1,9,-0.4058717821179698
AT2,IL1R1,10,-1.0516984725901901
AT2,IL1R1,11,0.15517562566389032
AT2,IL1R1,12,-0.31576018537533024
AT2,IL1R1,13,-0.17784365444753014
AT2,IL1R1,14,0.0637986342051402
AT2,IL1R1,15,-0.21925906205894918
AT2,IL1R1,16,-0.8882765560176686
AT2,IL1R1,17,0.9467066035181295
AT2,IL1R1,18,0.3540098132949101
AT2,IL1R1,19,-0.7386634154994809
AT2,IL1R1,20,-0.6081531123963799
AT2,IL1R1,21,1.1785012769507697
AT2,IL1R1,22,0.12924753743049067
AT2,IL1R1,23,-0.4607950188093195
AT2,IL1R1,24,-0.06178185040970963
AT2,IL1R1,25,-0.38658391370281997
AT2,IL1RAP,3,-0.40145594356217007
AT2,IL1RAP,4,0.5036189198103402
AT2,IL1RAP,5,0.2356506312965596
AT2,IL1RAP,6,0.8462016002767196
AT2,IL1RAP,7,0.19022181479672007
AT2,IL1RAP,8,-0.5981282146262403
AT2,IL1RAP,9,0.5776603381572798
AT2,IL1RAP,10,-1.0340997773742693
AT2,IL1RAP,11,-0.4918134098332194
AT2,IL1RAP,12,0.44682977200791996
AT2,IL1RAP,13,-0.9136221531070201
AT2,IL1RAP,14,-0.42213495532249024
AT2,IL1RAP,15,0.34581555726540003
AT2,IL1RAP,16,0.3363097754091502
AT2,IL1RAP,17,1.0116908364845898
AT2,IL1RAP,18,1.04124979429161
AT2,IL1RAP,19,0.18463763766145025
AT2,IL1RAP,20,-0.19471564854258983
AT2,IL1RAP,21,1.0519195332293205
AT2,IL1RAP,22,0.21439035284969066
AT2,IL1RAP,23,0.28470648553629996
AT2,IL1RAP,24,-0.43984294629951926
AT2,IL1RAP,25,-0.4191248519108406
