broad,histology,gene,n_patients,donor_mean_expression,donor_mean_detection
AT2-like,LUAD,IL1A,23,0.004076987089611209,0.0013803522642996653
AT2-like,LUAD,IL1B,23,0.03275096989394299,0.007957575301265004
AT2-like,LUAD,IL1R1,23,2.683715409570776,0.45315187568511783
AT2-like,LUAD,IL1R2,23,0.030904684173901884,0.006002780042250161
AT2-like,LUAD,IL1RAP,23,0.3240707851933995,0.09784523555887695
AT2-like,LUAD,IL1RN,23,0.04217621885116272,0.01540532274977144
AT2-like,LUAD,SIGIRR,23,1.0225921719118725,0.2802826853340334
AT2-like,normal,IL1A,23,0.002570371735471174,0.000827776332088561
AT2-like,normal,IL1B,23,0.023369926149788448,0.005599308771581052
AT2-like,normal,IL1R1,23,3.0448761353690945,0.4766740308006584
AT2-like,normal,IL1R2,23,0.01240697807692593,0.004314713880777165
AT2-like,normal,IL1RAP,23,0.29162224753896065,0.0814272852524017
AT2-like,normal,IL1RN,23,0.03382839773324459,0.010404240749780283
AT2-like,normal,SIGIRR,23,1.1378776844564542,0.2913796094679316
Fibroblasts,LUAD,IL1A,23,0.012671994111629578,0.0022269169302013524
Fibroblasts,LUAD,IL1B,23,0.027282424377468462,0.0054191458379225605
Fibroblasts,LUAD,IL1R1,23,3.6913843859456876,0.42067823825634365
Fibroblasts,LUAD,IL1R2,23,0.02615817909953181,0.005954364369471813
Fibroblasts,LUAD,IL1RAP,23,0.4184371191436418,0.0798611203663239
Fibroblasts,LUAD,IL1RN,23,0.041099370745179185,0.009697063140080312
Fibroblasts,LUAD,SIGIRR,23,0.22667687157545185,0.05636824293553735
Fibroblasts,normal,IL1A,22,0.0036214196403533045,0.0008939952785520454
Fibroblasts,normal,IL1B,22,0.02628435196511678,0.005208421776696896
Fibroblasts,normal,IL1R1,22,3.966860741462466,0.38313718085884485
Fibroblasts,normal,IL1R2,22,0.03480376952430568,0.005564626978524486
Fibroblasts,normal,IL1RAP,22,0.47609424850022797,0.08737483707979767
Fibroblasts,normal,IL1RN,22,0.042417006253699846,0.0070952496435738865
Fibroblasts,normal,SIGIRR,22,0.22198209460825585,0.04776929508766392
Macrophages,LUAD,IL1A,22,0.23641200386321684,0.11278941334266754
Macrophages,LUAD,IL1B,22,0.7318652004134861,0.17345992529747084
Macrophages,LUAD,IL1R1,22,0.2913400253427963,0.12282902781003643
Macrophages,LUAD,IL1R2,22,0.04460416105334474,0.01618346643074961
Macrophages,LUAD,IL1RAP,22,0.7812810001816707,0.27719778239793613
Macrophages,LUAD,IL1RN,22,2.4128748960696447,0.3276761126176734
Macrophages,LUAD,SIGIRR,22,0.3361141387669105,0.15121515934919255
Macrophages,normal,IL1A,12,0.3114915959121897,0.15180234970763615
Macrophages,normal,IL1B,12,0.5481782774275913,0.20207631541412466
Macrophages,normal,IL1R1,12,0.3221090660276839,0.12186176855168034
Macrophages,normal,IL1R2,12,0.04909269454990978,0.01440549465429831
Macrophages,normal,IL1RAP,12,0.8750617711546324,0.3469304907498929
Macrophages,normal,IL1RN,12,1.4943920528951804,0.3899465611779856
Macrophages,normal,SIGIRR,12,0.3259110899379459,0.1721207028603391
