patient,normal,LUAD
3,0.8918918918918919,0.8918918918918919
4,0.511482254697286,0.5142118863049095
5,0.7479075995982591,0.813986013986014
6,0.6666666666666666,0.6433260393873085
7,0.5529411764705883,0.5688949522510232
8,1.0,0.7286821705426356
9,0.4646464646464646,0.7207792207792207
10,0.7675438596491229,0.7027027027027027
11,0.8260869565217391,0.5632411067193676
12,0.3529411764705882,0.8129770992366412
13,0.6296296296296297,0.816
14,0.4883720930232558,0.4246575342465753
15,0.7230769230769231,0.751131221719457
16,0.5851528384279476,0.665
17,0.603448275862069,0.8128964059196617
18,0.6352040816326531,0.7359512525389302
19,0.3554216867469879,0.7068832173240526
20,0.3018867924528302,0.6440677966101694
21,0.7473002159827213,0.8563218390804598
22,0.3116883116883117,0.573632538569425
23,0.8490566037735849,0.7935258092738408
24,0.7536738978306508,0.7416559691912709
25,0.8261904761904761,0.6957210776545166
