NGenes,Correlation,Direction,PValue,FDR,set,config,comp,label,cell_floor,case,reference,correlation_setting,n_patients,assayed_fraction,FDR_global
189,0.152959082974287,Down,0.785260211540874,0.785260211540874,HALLMARK_TNFA_SIGNALING_VIA_NFKB,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.98,0.829877269014787
172,0.0468961559794708,Up,0.547459199988793,0.729945599985057,HALLMARK_INFLAMMATORY_RESPONSE,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.99,0.671418651949321
76,0.0467770457424096,Up,0.698906408308138,0.785260211540874,HALLMARK_IL6_JAK_STAT3_SIGNALING,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.988505747126437,0.767319649257742
176,0.0256808784451354,Up,0.517516151362371,0.729945599985057,HALLMARK_HYPOXIA,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.975,0.656304573773189
178,0.0337135658106987,Up,0.0073695583069785,0.0589564664558283,HALLMARK_GLYCOLYSIS,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.955,0.208545066835373
186,0.028891570333654,Up,0.181151113171199,0.483069635123197,HALLMARK_P53_PATHWAY,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.95,0.391406035579109
188,0.0738717401523486,Up,0.0430111513692859,0.172044605477144,HALLMARK_E2F_TARGETS,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.955,0.230771369846745
185,0.0604578604455202,Up,0.252902812305928,0.505805624611856,HALLMARK_G2M_CHECKPOINT,unc20_pooled,AT2,__broad__,50,LUAD,normal,estimated,23,0.945,0.473496241902394
189,0.01,Down,0.376387877726924,0.430157574545056,HALLMARK_TNFA_SIGNALING_VIA_NFKB,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.98,0.456574860373094
172,0.01,Up,0.265814927123499,0.425303883397598,HALLMARK_INFLAMMATORY_RESPONSE,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.99,0.338640934554594
76,0.01,Up,0.529764738314682,0.529764738314682,HALLMARK_IL6_JAK_STAT3_SIGNALING,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.988505747126437,0.591217447959185
176,0.01,Up,0.353113778710475,0.430157574545056,HALLMARK_HYPOXIA,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.975,0.434003278679394
178,0.01,Up,2.97044229737644e-06,1.18817691895058e-05,HALLMARK_GLYCOLYSIS,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.955,2.18093000254744e-05
186,0.01,Up,0.039633733363729,0.079267466727458,HALLMARK_P53_PATHWAY,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.95,0.0686344076199453
188,0.01,Up,1.1304890776827e-06,9.04391262146161e-06,HALLMARK_E2F_TARGETS,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.955,1.01744016991443e-05
185,0.01,Up,0.0154754112067165,0.0412677632179106,HALLMARK_G2M_CHECKPOINT,unc20_pooled,AT2,__broad__,50,LUAD,normal,fixed001,23,0.945,0.0301723182175534
190,0.238796599558697,Up,0.654660414758896,0.783530696733152,HALLMARK_TNFA_SIGNALING_VIA_NFKB,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,estimated,22,0.98,0.745396851080174
173,0.081398863574579,Up,0.153554822303066,0.307109644606132,HALLMARK_INFLAMMATORY_RESPONSE,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,estimated,22,0.99,0.366169191645772
76,0.0839223503127037,Up,0.0842250888282727,0.252675266484818,HALLMARK_IL6_JAK_STAT3_SIGNALING,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,estimated,22,0.988505747126437,0.313317330441175
53,0.0892538166924614,Up,0.783530696733152,0.783530696733152,HALLMARK_TGF_BETA_SIGNALING,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,estimated,22,0.981481481481481,0.829877269014787
38,0.0067356332415668,Down,0.676558192308269,0.783530696733152,HALLMARK_WNT_BETA_CATENIN_SIGNALING,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,estimated,22,0.976190476190476,0.752030819338674
251,0.0582161468735538,Up,0.0290334396433522,0.174200637860113,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,estimated,22,0.98,0.208545066835373
190,0.01,Up,0.0705339506404588,0.105800925960688,HALLMARK_TNFA_SIGNALING_VIA_NFKB,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,fixed001,22,0.98,0.110556023756674
173,0.01,Up,0.0005218649350689,0.0010437298701379,HALLMARK_INFLAMMATORY_RESPONSE,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,fixed001,22,0.99,0.0018430419858764
76,0.01,Up,0.0002200705781532,0.0006602117344598,HALLMARK_IL6_JAK_STAT3_SIGNALING,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,fixed001,22,0.988505747126437,0.0009029366368348
53,0.01,Up,0.592278386319124,0.686208630936585,HALLMARK_TGF_BETA_SIGNALING,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,fixed001,22,0.981481481481481,0.650573503082817
38,0.01,Down,0.686208630936585,0.686208630936585,HALLMARK_WNT_BETA_CATENIN_SIGNALING,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,fixed001,22,0.976190476190476,0.725109470629134
251,0.01,Up,8.35072560774533e-07,5.0104353646472e-06,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,fixed001,22,0.98,7.76617481520316e-06
187,0.0837313540196,Up,0.387691832338635,0.432603573942281,HALLMARK_TNFA_SIGNALING_VIA_NFKB,unc20_pooled,macrophages,__broad__,50,LUAD,normal,estimated,12,0.98,0.578427920975825
175,0.0373440559066887,Up,0.0657246896546584,0.115018206895652,HALLMARK_INFLAMMATORY_RESPONSE,unc20_pooled,macrophages,__broad__,50,LUAD,normal,estimated,12,0.99,0.272017225798108
76,0.0141605768242502,Up,0.0167120726712519,0.0573898276130514,HALLMARK_IL6_JAK_STAT3_SIGNALING,unc20_pooled,macrophages,__broad__,50,LUAD,normal,estimated,12,0.988505747126437,0.208545066835373
158,0.0122430126021546,Up,0.0015673439750188,0.010971407825132,HALLMARK_GLYCOLYSIS,unc20_pooled,macrophages,__broad__,50,LUAD,normal,estimated,12,0.955,0.208545066835373
186,0.0767714341501906,Up,0.432603573942281,0.432603573942281,HALLMARK_OXIDATIVE_PHOSPHORYLATION,unc20_pooled,macrophages,__broad__,50,LUAD,normal,estimated,12,0.93,0.600479587710928
165,0.0093064102545877,Up,0.0245956404055935,0.0573898276130514,HALLMARK_HYPOXIA,unc20_pooled,macrophages,__broad__,50,LUAD,normal,estimated,12,0.975,0.208545066835373
184,0.0871386778356169,Up,0.34133829448421,0.432603573942281,HALLMARK_INTERFERON_GAMMA_RESPONSE,unc20_pooled,macrophages,__broad__,50,LUAD,normal,estimated,12,0.94,0.538099632245544
187,0.01,Up,0.0307842727037011,0.0359149848209846,HALLMARK_TNFA_SIGNALING_VIA_NFKB,unc20_pooled,macrophages,__broad__,50,LUAD,normal,fixed001,12,0.98,0.0557715070411208
175,0.01,Up,0.000742685648465,0.0025993997696276,HALLMARK_INFLAMMATORY_RESPONSE,unc20_pooled,macrophages,__broad__,50,LUAD,normal,fixed001,12,0.99,0.0024377564226087
76,0.01,Up,0.0022285421052754,0.0051999315789759,HALLMARK_IL6_JAK_STAT3_SIGNALING,unc20_pooled,macrophages,__broad__,50,LUAD,normal,fixed001,12,0.988505747126437,0.0058108714707648
158,0.01,Up,8.94313761675433e-06,6.26019633172803e-05,HALLMARK_GLYCOLYSIS,unc20_pooled,macrophages,__broad__,50,LUAD,normal,fixed001,12,0.955,5.19819873973846e-05
186,0.01,Up,0.0605433498458417,0.0605433498458417,HALLMARK_OXIDATIVE_PHOSPHORYLATION,unc20_pooled,macrophages,__broad__,50,LUAD,normal,fixed001,12,0.93,0.0976392751849123
165,0.01,Up,0.0109133367163105,0.0190983392535433,HALLMARK_HYPOXIA,unc20_pooled,macrophages,__broad__,50,LUAD,normal,fixed001,12,0.975,0.0230668253322017
184,0.01,Up,0.0151986829283462,0.0212781560996846,HALLMARK_INTERFERON_GAMMA_RESPONSE,unc20_pooled,macrophages,__broad__,50,LUAD,normal,fixed001,12,0.94,0.0300739896241744
