set,gene,control,n_control,IL-1beta,n_IL-1beta,ratio_il1b_over_control
AT1_early,Lmo7,0.9906542056074766,107,0.9494949494949514,198,0.9584524490184887
AT1_early,Pdpn,0.8598130841121495,107,0.8434343434343446,198,0.980950812472553
AT1_early,Hopx,0.9626168224299065,107,0.8484848484848497,198,0.881435716387174
AT1_late,Aqp5,1.0,107,0.9949494949494971,198,0.9949494949494971
AT1_late,Vegfa,0.9719626168224299,107,0.8787878787878802,198,0.9041375291375306
AT1_late,Cav1,0.7850467289719626,107,0.4090909090909085,198,0.5211038961038954
AT1_late,Spock2,0.616822429906542,107,0.2171717171717173,198,0.3520814202632387
DATP_figure7,Cldn4,0.205607476635514,107,0.7828282828282837,198,3.807392102846652
DATP_figure7,AW112010,0.17757009345794392,107,0.9040404040404056,198,5.09117490696439
DATP_figure7,Lhfp,0.27102803738317754,107,0.46969696969696884,198,1.7330198537095058
