cluster,n_cells,Sftpc,hAT2_canonical,AT2_identity,AT2_lipid,pAT2_inflammatory,cAT2,DATP,AT1_canonical,AT1_early,AT1_late,DATP_figure7,p53,arrest,hypoxia,hypoxia_without_Ndrg1,ifng_response,glycolysis,responder,ciliated,mesenchyme,immune,endothelium,club_or_airway,state,rule,AT1_reference_detection,sftpc_informative
0,526,0.9999999999999911,0.9809885931558849,0.5583016476552598,0.7826362484157118,0.5749049429657753,0.08681875792141941,0.22509505703421998,0.3231939163498084,0.5063371356146998,0.3583650190114057,0.5247148288973355,0.5085551330798466,0.8954372623574077,0.4762357414448649,0.7414448669201485,0.5161596958174898,0.46514575411913556,0.429657794676807,0.03295310519645122,0.6996197718631126,0.008079847908745247,0.011406844106463877,0.18504435994930266,contaminant_mesenchyme,1b,0.7392065979022497,False
1,872,0.9999999999999883,0.9999999999999883,0.9533639143730784,0.8593272171253749,0.43142201834862115,0.024082568807339454,0.2107798165137597,0.10321100917431165,0.2415902140672789,0.4423738532110059,0.05695718654434245,0.41370412844036597,0.41571100917431136,0.3222477064220182,0.6227064220183484,0.27322247706422076,0.3249235474006095,0.02522935779816514,0.11200305810397511,0.17488532110091726,0.005447247706422019,0.007645259938837921,0.29204892966361,hAT2,5 (reference),0.7392065979022497,False
2,222,0.9999999999999956,0.9669669669669628,0.4909909909909908,0.78228228228228,0.3891891891891884,0.022522522522522518,0.2684684684684677,0.8423423423423394,0.9159159159159124,0.8412162162162133,0.18168168168168175,0.4177927927927927,0.587837837837837,0.27252252252252274,0.5270270270270274,0.4504504504504496,0.39639639639639507,0.1936936936936938,0.20720720720720742,0.1824324324324326,0.0045045045045045045,0.01051051051051051,0.18318318318318336,AT1,3b,0.7392065979022497,False
3,70,0.9999999999999983,0.9999999999999983,0.8999999999999987,0.8809523809523797,0.528571428571428,0.7333333333333326,0.254285714285714,0.1952380952380953,0.34285714285714275,0.4892857142857137,0.13809523809523813,0.5821428571428567,0.528571428571428,0.3714285714285711,0.6999999999999994,0.3642857142857141,0.3999999999999995,0.04285714285714286,0.11428571428571431,0.23571428571428577,0.017857142857142856,0.0047619047619047615,0.30952380952380953,cAT2,2,0.7392065979022497,False
4,4,1.0,1.0,0.4166666666666667,0.9166666666666666,0.45,0.25,0.2,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.625,0.5,0.375,0.75,0.1875,0.5,0.0,0.0,0.041666666666666664,0.5,0.0,0.08333333333333333,contaminant_immune,1b,0.7392065979022497,False
5,98,1.0000000000000009,0.9897959183673478,0.32312925170068046,0.6190476190476195,0.56530612244898,0.12585034013605448,0.17142857142857149,0.4523809523809527,0.448979591836735,0.4311224489795922,0.32993197278911585,0.6071428571428575,0.877551020408164,0.48979591836734726,0.7142857142857149,0.40306122448979614,0.5952380952380957,0.3163265306122451,0.047619047619047616,0.6530612244897964,0.02040816326530612,0.003401360544217687,0.11904761904761907,contaminant_mesenchyme,1b,0.7392065979022497,False
6,35,1.0000000000000002,1.0000000000000002,0.6095238095238097,0.5714285714285715,0.8114285714285716,0.09523809523809523,0.6342857142857145,0.3428571428571429,0.42857142857142866,0.42857142857142866,0.4761904761904763,0.592857142857143,0.47142857142857153,0.6714285714285715,0.8000000000000002,0.5714285714285715,0.523809523809524,0.17142857142857143,0.40952380952380957,0.29047619047619055,0.02857142857142857,0.009523809523809523,0.3238095238095238,DATP,4,0.7392065979022497,False
7,562,1.0000000000000127,1.0000000000000127,0.7425860023724846,0.6702253855278801,0.5701067615658405,0.02135231316725979,0.44448398576512654,0.19039145907473268,0.3268090154211143,0.34830960854092713,0.3564650059311976,0.3879003558718866,0.36476868327402173,0.42259786476868555,0.7153024911032075,0.37677935943060525,0.3967971530249144,0.046263345195729555,0.06702253855278761,0.13107947805456677,0.005338078291814946,0.007710557532621589,0.19691577698695104,DATP,4,0.7392065979022497,False
8,969,1.0000000000000209,1.0000000000000209,0.8138974888201016,0.6728586171310683,0.6643962848297293,0.02304781561747506,0.368421052631582,0.14551083591331201,0.2156862745098029,0.3359133126935007,0.2270381836945294,0.38931888544891663,0.3854489164086694,0.4649122807017591,0.7698658410732815,0.31398348813209337,0.3900928792569718,0.02270381836945305,0.039215686274509755,0.1544547643618844,0.006191950464396285,0.007911936704506366,0.2731338149294829,hAT2,7,0.7392065979022497,False
9,60,1.0000000000000013,0.9944444444444458,0.47222222222222227,0.8333333333333343,0.5700000000000006,0.12222222222222222,0.16333333333333333,0.44444444444444486,0.6111111111111117,0.4750000000000003,0.3944444444444448,0.7041666666666675,0.9750000000000013,0.47500000000000026,0.7166666666666672,0.5750000000000004,0.44444444444444486,0.5666666666666668,0.03333333333333333,0.7138888888888898,0.008333333333333333,0.0,0.21666666666666665,contaminant_mesenchyme,1b,0.7392065979022497,False
