treatment,AT1_n,DATP_n,cAT2_n,hAT2_n,AT1_frac,DATP_frac,cAT2_frac,hAT2_frac,epithelial_cells
IL-1beta,198,1692,25,2,0.10328638497652583,0.8826291079812206,0.013041210224308816,0.0010432968179447052,1917
control,107,10,14,722,0.1254396248534584,0.011723329425556858,0.016412661195779603,0.8464243845252052,853
