subcluster,n_cells,n_labelled,top_label,purity,label_entropy,entropy_flag,n_animals,max_animal_fraction,dominant_animal
0,1859,1859,iMON,0.523,0.937,HIGH,25,0.224,EEM-scRNA-162
1,856,856,cDC2,0.411,1.233,HIGH,25,0.076,EEM-scRNA-158
2,3663,3662,aMAC,0.968,0.149,low,25,0.106,EEM-scRNA-180
3,312,312,aMAC,0.542,0.805,HIGH,25,0.122,EEM-scRNA-167
4,149,141,Neutrophil,0.234,1.942,HIGH,24,0.128,EEM-scRNA-170
5,1085,1085,Neutrophil,1.0,-0.0,low,25,0.069,EEM-scRNA-116
6,1786,1785,cMON,0.534,0.885,HIGH,25,0.176,EEM-scRNA-166
7,205,202,aMAC,0.292,1.935,HIGH,24,0.098,EEM-scRNA-182
8,82,82,cDC2,0.988,0.066,low,22,0.134,EEM-scRNA-162
