sub_r0.2,Neutrophil,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,7,18,12,11,46,788,973,1,3
1,1,3,344,352,11,2,39,103,1
2,1,3543,1,0,0,2,115,0,0
3,0,169,136,4,1,1,1,0,0
4,33,25,8,27,8,6,10,1,23
5,1085,0,0,0,0,0,0,0,0
6,85,0,0,3,954,0,10,0,733
7,18,59,26,10,17,33,14,0,25
8,1,0,0,81,0,0,0,0,0
