compartment,collection,set,size,discovery_nes,discovery_fdr,matched_p,held_out_nes,held_out_fdr,held_out_tested,replicates,proposed_status
macrophages,hallmark,HALLMARK_DNA_REPAIR,143,2.324165589725913,0.0,0.0,1.3644321265896746,0.042043399638336344,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_MTORC1_SIGNALING,193,2.2578603965066493,0.0,0.0,1.7937772094929936,0.0005085895117540687,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,71,2.1319624326964,0.0005983928876731066,0.0,1.3340113828720939,0.04814647377938517,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_GLYCOLYSIS,180,2.0899011189820627,0.0005439935342482786,0.0,1.3446832473185342,0.04746835443037974,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,181,1.9659211620500785,0.0009973214794551774,0.0,1.7927162496512423,0.0004520795660036167,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_ADIPOGENESIS,192,1.916420884567627,0.001380906663861015,0.004,-1.459307162906999,0.03760806916426513,True,False,Not established
macrophages,hallmark,HALLMARK_FATTY_ACID_METABOLISM,143,1.9065759340816406,0.0017096939647803042,0.004,-1.3252535633210496,0.06462536023054756,True,False,Not established
macrophages,hallmark,HALLMARK_ANGIOGENESIS,31,1.8050635982978296,0.0035903573260386394,0.016,1.8562150401674489,0.0005812451562903643,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_COMPLEMENT,188,1.7760733223513225,0.004113951102752607,0.004,1.9267584113688043,0.0004520795660036166,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_ALLOGRAFT_REJECTION,179,1.7442023350799045,0.004223949795339576,0.01,1.5914348468982733,0.004561893802400132,True,True,Validated (held-out replication)
macrophages,hallmark,HALLMARK_TGF_BETA_SIGNALING,51,-1.6314053180872037,0.0336345722633689,0.002,0.9870288612623844,0.48282097649186256,True,False,Not established
macrophages,gobp,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,90,3.5436676364151127,0.0,0.0,1.5389334071441765,0.06994715873058274,True,False,Not established
macrophages,gobp,GOBP_OXIDATIVE_PHOSPHORYLATION,129,3.454877992704655,0.0,0.0,1.4960440761064906,0.0865580812538181,True,False,Not established
macrophages,gobp,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,63,3.4074045529146524,0.0,0.0,1.3645476504211769,0.16521947011587015,True,False,Not established
macrophages,gobp,GOBP_MITOCHONDRIAL_TRANSLATION,121,3.338083921990467,0.0,0.0,0.8947347920759311,0.7338669559904111,True,False,Not established
macrophages,gobp,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,106,3.3072700965402935,0.0,0.0,1.353619652985858,0.16464552583919556,True,False,Not established
macrophages,gobp,GOBP_ATP_BIOSYNTHETIC_PROCESS,82,3.2942167149512245,0.0,0.0,1.369202643324945,0.16565919755669725,True,False,Not established
macrophages,gobp,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,89,3.17873726605334,0.0,0.0,1.5061340876857094,0.08315853610447892,True,False,Not established
macrophages,gobp,GOBP_AEROBIC_RESPIRATION,175,3.135550878249821,0.0,0.0,1.116711562144902,0.3666042385801617,True,False,Not established
macrophages,gobp,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,46,3.085437880962107,0.0,0.0,1.2826228132722959,0.20729754965488267,True,False,Not established
macrophages,gobp,GOBP_ELECTRON_TRANSPORT_CHAIN,116,3.0751812459446684,0.0,0.0,1.354983648205197,0.16537259476257046,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION,54,3.0027236238836505,0.0,0.0,0.9059234301392628,0.7129389795354123,True,False,Not established
macrophages,gobp,GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,49,2.9776926557464574,0.0,0.0,0.9171275254327843,0.6920223053290177,True,False,Not established
macrophages,gobp,GOBP_MITOCHONDRIAL_GENE_EXPRESSION,155,2.9740112943623336,0.0,0.0,0.8015841391463212,0.865419861035673,True,False,Not established
